idiom,lang,meaning,noun_translation
Ça marche,fr,"'it functions', but also 'got it' or 'okay'.",[]
Être dans la lune,fr,"to daydream, to pay zero attention.",['moon']
Ça coûte un bras,fr,It's super expensive.,['arms']
Faire la grasse matinée,fr,to stay in bed until late in the morning.,"['bold', 'morning']"
Coup de foudre,fr,to fall madly in love at first sight.,"['cut', 'lightning']"
Être sage comme une image,fr,it's usually used to define kids who are very calm.,['image']
Boire comme un trou,fr,"well, you can guess, I think (hint: the picture of Kermit above).",['hole']
Poser un lapin à quelqu'un,fr,to stand someone up (usually used in the dating/romantic scene).,['rabbit']
Il fait un froid de canard,fr,it's super duper cold,"['cold', 'duck']"
On n'a pas élevé les cochons ensemble,fr,"you need to respect me more, I'm not your friend, or we have no anterior relations.",['pig']
Appeler un chat un chat,fr,to say it as it is.,"['cat', 'cat']"
Revenons à nos moutons,fr,let's go back to the topic at hand.,['sheep']
Être une poule mouillée,fr,to be a coward.,['chicken']
La moutarde monte au nez (à quelqu'un),fr,to get really angry.,"['mustard', 'nose']"
Tomber dans les pommes,fr,"to faint, to lose consciousness.",['apple']
Se vendre comme des petits pains,fr,to be in high demand/to be sold very easily.,['bread']
Recevoir une note salée,fr,to receive a huge surprise bill.,['note']
Ce n'est pas tes oignons,fr,it doesn't concern you.,['onion']
Pas ma tasse de thé,fr,"as it's identical with the English one, I think you can guess what it means.","['cup', 'tea']"
Gagner des cacahuètes,fr,to receive a very small wage.,['peanut']
aller se faire cuire un œuf,fr,to go jump in the lake,['egg']
appeler un chat un chat,fr,to call a spade a spade,"['cat', 'cat']"
apporter de l'eau au moulin de quelqu'un,fr,to add grist to somebody's mill,"['water', 'mill']"
apprendre à un vieux singe à faire des grimaces,fr,"to teach an old dog new tricks (US), to teach granny to suck eggs (UK)","['monkey', 'grimace']"
arriver comme un cheveu sur la soupe,fr,to arrive at the worst possible moment,"['hair', 'soup']"
avoir d’autres chats à fouetter,fr,to have bigger fish to fry,['cat']
avoir le cafard,fr,to be in the doldrums,['cockroach']
avoir des casseroles au cul,fr,to be plagued by scandals,"['pan', 'ass']"
avoir la chair de poule,fr,to have goosebumps,"['flesh', 'chicken']"
avoir un chat dans la gorge,fr,to have a frog in your throat,"['cat', 'throat']"
avoir le cœur sur la main,fr,to be big-hearted,"['heart', 'hand']"
avoir un coup de foudre,fr,to feel love at first sight,"['cut', 'lightning']"
avoir deux mains gauches,fr,to be all thumbs,['hand']
avoir la gueule de bois,fr,to have a hangover,"['mouth', 'wood']"
avoir la moutarde qui monte au nez,fr,"to lose your temper (US), to lose your rag (UK)","['mustard', 'nose']"
avoir du pain sur la planche,fr,to have a lot on your plate,"['bread', 'plank']"
avoir la pêche / la patate / la frite,fr,"to feel great (US), to be full of beans (UK)","['sin', 'potato', 'fried']"
avoir un poil dans la main,fr,to be bone-lazy,"['hair', 'hand']"
avoir la tête dans le pâté/le cul,fr,to feel groggy,"['head', 'dough', 'ass']"
avoir les yeux plus gros que le ventre,fr,to bite off more than you can chew,"['eye', 'belly']"
battre le fer tant qu’il est chaud,fr,to strike while the iron is hot,['iron']
boire comme un trou,fr,to drink like a fish,['hole']
casser les pieds à quelqu’un,fr,to drive somebody nuts,['foot']
casser du sucre sur le dos de quelqu’un,fr,to badmouth somebody behind their back,"['sugar', 'back']"
changer de crèmerie,fr,to take one’s custom elsewhere,['creamery']
chat échaudé craint l'eau froide,fr,"once bitten, twice shy","['cat', 'water']"
chercher midi à quartorze heures,fr,to make things over-complicated,"['midday', 'hour']"
chercher la petite bête,fr,to split hairs,['stupid']
courir sur le haricot de quelqu’un,fr,to get on somebody’s nerves,['bean']
coûter les yeux de la tête,fr,to cost an arm and a leg,"['eye', 'head']"
les doigts dans le nez,fr,to accomplish something easily,"['finger', 'nose']"
donner de la confiture aux cochons,fr,to cast pearls before swine,"['jam', 'pig']"
donner sa langue au chat,fr,to give up on guessing,"['language', 'cat']"
en avoir gros sur le cœur/la patate,fr,to be heavy-hearted,"['heart', 'potato']"
en avoir ras-le-bol,fr,to be fed up to the back teeth,['Fed up']
en faire tout un fromage/plat,fr,to make a mountain out of a molehill,"['cheese', 'dish']"
enfoncer une porte ouverte,fr,to whip a dead horse,['gate']
engueuler quelqu'un comme du poisson pourri,fr,"to give somebody a earful (US), to give somebody a rollicking (UK)",['fish']
entrer quelque part comme dans un moulin,fr,to waltz in somewhere as you please,"['go', 'mill']"
être le dindon de la farce,fr,to be the butt of the joke,"['turkey', 'prank call']"
être au four et au moulin,fr,to wear too many hats,"['oven', 'mill']"
être bien dans sa peau,fr,to feel good about one's self,['skin']
être long(ue) à la détente,fr,to be slow on the uptake,['relaxation']
être à l’ouest/à la ramasse,fr,to run on empty,"['west', 'picked up']"
ne faire qu’une bouchée de quelqu’un,fr,to wipe the floor with somebody,['bite']
faire une queue de poisson,fr,to cut somebody up,"['tail', 'fish']"
faire la grasse matinée,fr,"to sleep in (US), to have a lie-in (UK)","['bold', 'morning']"
faire l’andouille,fr,to be silly,['andouille']
faire un tabac,fr,to strike it rich,['tobacco']
filer à l'anglaise,fr,to sneak out,['English']
finir en queue de poisson,fr,to fizzle out,"['tail', 'fish']"
la goutte d’eau qui fait déborder le vase,fr,the final straw that breaks the camel’s back,"['drop', 'water', 'vase']"
l’habit ne fait pas le moine,fr,you can't judge a book by its cover,"['dress', 'monk']"
il faut souffrir pour être belle,fr,"no pain, no gain",[]
il n'y a pas un chat,fr,nobody's here,['cat']
jeter l’argent par les fenêtres,fr,to poor money down the drain,"['silver', 'window']"
jeter le bébé avec l'eau du bain,fr,to throw the baby out with the bathwater,"['baby', 'water', 'bath']"
jeter l’éponge,fr,to throw in the towel,['sponge']
joindre les deux bouts,fr,to make ends meet,['end']
la fin des haricots,fr,the last straw,"['end', 'bean']"
les carottes sont cuites,fr,your goose is cooked,['carrot']
mener quelqu’un en bateau,fr,to lead someone up to the garden path,['boat']
mettre la charrue avant les boeufs,fr,put the cart before the horse,"['plow', 'beef']"
mettre son grain de sel,fr,to put in two cents,"['grain', 'salt']"
ne pas être dans son assiette,fr,to feel under the weather,['plate']
ne pas y aller avec le dos de la cuillère,fr,not to go in with half measures,"['back', 'spoon']"
ne pas avoir sa langue dans sa poche,fr,not never be at a loss of words,"['language', 'poached']"
ne pas avoir la lumière à tous les étages,fr,the lights are on but nobody’s home,"['light', 'stage']"
ne pas casser trois pattes à un canard,fr,nothing to write home about,"['paw', 'duck']"
ne pas être sorti de l’auberge,fr,not to be out of the woods,['hostel']
pas avoir de quoi fouetter un chat,fr,no need to get your knickers in a twist,['cat']
passer du coq à l’âne,fr,to jump from pillar to post,"['rooster', 'donkey']"
passer l'arme à gauche,fr,to kick the bucket,"['armed', 'left']"
péter un câble,fr,to blow a fuse,['cable']
"petit à petit, l'oiseau fait son nid",fr,little strokes fell great oaks,"['bird', 'nest']"
pipi de chat,fr,not important,"['Pee', 'cat']"
plumer quelqu'un,fr,to take somebody to the cleaner's,[]
poser un lapin,fr,to stand someone up,['rabbit']
prendre ses jambes à son cou,fr,to take your heels,"['leg', 'neck']"
presser quelqu'un comme un citron,fr,to squeeze somebody dry,['lemon']
quand les poules auront des dents,fr,when pigs fly,"['chicken', 'tooth']"
"Quand le chat n'est pas là, les souris dansent.",fr,"When the cat's away, the mice will play.","['cat', 'mouse']"
à quelque chose malheur est bon,fr,every cloud has a silver lining,"['thing', 'misfortune']"
qui vole un œuf vole un bœuf,fr,give somebody an inch and he/she will take a mile,"['egg', 'beef']"
raconter des salades,fr,to spin a yarn,['salad']
ramener sa fraise,fr,to stick your oar in,['strawberry']
rendre l'âme,fr,to give up the ghost,['soul']
revenir à ses moutons,fr,to get back on topic,['sheep']
rouler quelqu’un dans la farine,fr,to cook somebody's goose,['plain flour']
se jeter dans la gueule du loup,fr,to throw oneself in the lion's den,"['mouth', 'wolf']"
se mettre sur son 31,fr,to be dressed up to the nines,[]
se noyer dans un verre d'eau,fr,to be as helpless as a babe,"['glass', 'water']"
s’envoyer en l’air,fr,"make love, have sex",['air']
se serrer la ceinture,fr,to tighten one’s belt,['belt']
s’occuper de ses oignons,fr,to mind your own business,['onion']
un tien vaut mieux que deux tu l’auras,fr,a bird in the hand is worth two in the bush,['his']
tomber dans le panneau,fr,to fall into the trap,['sign']
tomber dans les pommes,fr,to faint,['apple']
tourner au vinaigre,fr,to turn sour,['vinegar']
traîner quelqu’un dans la boue,fr,to drag somebody’s name in the mud,['mud']
vendre la peau de l’ours avant de l’avoir tué,fr,to count your chickens before they hatch,"['skin', 'bear']"
出る杭は打たれる,jp,"by standing out, you invite criticism",[]
案ずるより産むが易し,jp,fear is worse than the actual threat of danger,[]
知らぬが仏,jp,ignorance is bliss,['Buddha']
虎穴に入らずんば虎子を得ず,jp,"nothing ventured, nothing gained","['tiger', 'hole', 'tiger', 'Child']"
井の中の蛙大海を知らず,jp,a person who’s satisfied to judge everything by their own narrow experience,"['During ~', 'frog', 'ocean']"
鯛も一人はうまからず,jp,a significant part of the pleasure of eating is to sit around the table to share a meal with loved ones,"['sea bream', 'One person']"
腹八分に医者いらず,jp,eating in moderation,"['belly eight', 'minute', 'doctor']"
明日のことを言うと天井のネズミが笑う,jp,The future is unpredictable,"['tomorrow', 'thing', 'ceiling', 'mouse or rat']"
明日は明日の風が吹く,jp,tomorrow is a new day,"['tomorrow', 'tomorrow', 'Wind']"
雨降って地固まる,jp,what doesn’t kill you makes you stronger,['ground']
花より団子,jp,one should value substance over form,"['flower', 'dumpling']"
相変わらず,jp,The same as ever,[]
猿も木から落ちる,jp,We all make mistakes,"['monkey', 'wood']"
朝飯前,jp,piece of cake,"['breakfast', 'Previous']"
見ぬが花,jp,reality can’t compete with imagination,['flower']
天下り,jp,bureaucrats are often able to find high-ranking jobs in private firms after retirement.,['dictate']
猫に小判,jp,casting pearls before swine,"['Cat', 'oval']"
七転び八起き,jp,"reminder that when life knocks you down, all you’ve got to do is stand back up","['seven falls', 'Get up']"
口が滑る,jp,the cat’s out of the bag,['mouth']
因果応報,jp,what goes around comes around,"['cause and effect', 'Retribution']"
自業自得,jp,you reap what you sow,"['self-employed', 'Own']"
一期一会,jp, every encounter we have is a once-in-a-lifetime experience,"['first term', 'meeting']"
十人十色,jp,to each his own,"['ten people', 'colour']"
起死回生,jp,turn a bad situation into a success,"['death', 'times', 'Raw']"
花鳥風月,jp,the beauty of nature,['Moon']
一石二鳥,jp,to kill two birds with one stone,"['one stone', 'bird']"
一日一歩,jp,one step a day toward our goals,"['Day', 'walking']"
温故知新,jp,history repeats itself,"['warm weather', 'innovation']"
異体同心,jp,harmony of mind between two people,"['alien body', 'Concentric']"
आँखें चुराना,hi,not like to be seen,['eye']
आँखो का तारा,hi,Beloved,"['eyes', 'star']"
मुँह मीठा करना,hi,to distribute sweet in joy,['mouth']
चहरा उतरना,hi,to be sad/disappointed,['face']
दन्तो तले उंगली दबाना,hi,to be very surprised,"['dental', 'Finger']"
बात पक्की होना,hi,to be agree on something,['Thing']
बाल-बाल बचना,hi,to get away from a trouble by a close margin,['narrowly']
अकल का दुश्मन,hi,to be dumb,"['wisdom', 'Enemy']"
जान पर खेलना,hi,to be fearless,['Life']
पेट में चूहे कूदना,hi,to be very hungry,"['Abdomen', 'Rat']"
आसमान पर चड़ना,hi,to be proud,['Sky']
आकाश पाताल का अंतर,hi,to be a big difference,"['sky', 'gap']"
हवा से बातें करना,hi,to run at high speed,"['Air', 'Thing']"
पत्थर की लकीर,hi,to be firm on saying,"['stone', 'streak']"
पहाड़ टूट पड़ना,hi,to get into a big trouble,['mountain']
ईद का चाँद होना,hi,only to be seen after long time (usually a person),"['Eid', 'Moon']"
चकमा देना,hi,to deceive,['dodge']
उल्टी गंगा बहना,hi,to be unusual (happening),['Vomiting']
छ्क्के छुड़ाना,hi,to defeat,['six']
फूँक फूँक कर कदम रखना,hi,to be very careful (in action),"['blow', 'Step']"
दम में दम आना,hi,to feel free from fear,"['power', 'power']"
दाँत से दाँत बजाना,hi,to feel very cold,"['teeth', 'teeth']"
मुँह में पानी आना,hi,to be tempted by food,"['mouth', 'Water']"
नाक काटना,hi,to blame or embarrass someone,['nose']
कमर टूटना,hi,to feel disappointed,['waist']
कमर कसना,hi,to prepare for something,['waist']
कलेजा पत्थर का होना,hi,to be mentally very strong,"['Liver', 'stone']"
दाँत खट्टे करना,hi,to defeat someone,['teeth']
ईंट से ईंट बजाना,hi,to destroy someone,"['brick', 'brick']"
बदले में लेना-देना,hi,Trade in,['exchange']
फायदा उठाना,hi,Trade on,['Benefit']
जाँच के लिए चलाकर देखना,hi,Try out,['Check']
किसी के खिलाफ खड़े हो जाना,hi,Turn against,[]
धुँधला पड़ना,hi,Wear off,[]
समय नष्ट करना,hi,While away,['Time']
हक्का-बक्का होना,hi,Aghast at,['Astound']
दिए हुए वचन से मुकर जाना,hi,Back out of,['Promise']
बुलाने पर हाजिर होना,hi,Beck and call,[]
जी जान से,hi,Body and soul,[]
दिन दहाड़े,hi,Broad daylight,['Day']
बाल-बाल बचना,hi,Close shave,['narrowly']
कानून का सहारा लेना,hi,Go to law,"['law', 'Support']"
नाक में दम करना,hi,fed up as a result of another person bothering,"['nose', 'power']"
लोहे के चने चबाना,hi,to perform an exceedingly difficult seemingly impossible task,"['Iron', 'Gram']"
पापड़ बेलना,hi,to endure hardship in one's life,['papad']
दाल न गलना,hi,to fail at an attempt at an endeavor,['Lentils']
चूना लगाना,hi,to mask one's true intentions or to deceive,['Lime']
पत्ता कटना,hi,to be fired from one's job or to be told off,['Leaf']
मक्खन लगाना,hi,to disingenuously flatter another person with the intent of gaining favor in return,['butter']
मगज़ मारना,hi,to mentally over-exert oneself as a result of too much contemplation or concentration,['Magaz']
हाथी पर चढ़ना,hi,to rise in wealth stature or reputation,['elephant']
वरक़ उलटना,hi,to make a fresh start or a positive change,['Leaf']
फंदा छूटना,hi,to be freed from an entrapping or unbearable situation,['the noose']
सफ़ेदी आना,hi,to age,['whiteness']
अपनी खिचड़ी अलग पकाना,hi,to diverge from group mentality and instead go on one's own unique path,['porridge']
Avoir un coup de foudre,fr,to fall in love at first sight to fall madly in love,"['cut', 'lightning']"
Se faire larguer,fr,to get dumped,[]
Se prendre un râteau,fr,to get knocked back,['rake']
Poser un lapin à quelqu’un,fr,to stand somebody up,['rabbit']
S’envoyer en l’air,fr,to get laid,['air']
Avoir le cafard,fr,"to feel blue, to feel down to feel depressed",['cockroach']
Avoir la pêche,fr,"to feel great, to feel happy to be in high spirits",['sin']
Avoir la banane,fr,"to feel great, to feel happy to be in high spirits",['banana']
Avoir la patate,fr,"to feel great, to feel happy to be in high spirits",['potato']
Avoir la dalle,fr,"to be starving, to feel hungry",['slab']
Crever la dalle,fr,"to be starving, to feel hungry",['slab']
Prendre la tête,fr,"to bother someone, to give yourself a headache to drive crazy",['head']
En avoir marre,fr,to be fed up with something or someone.,['fed up']
Avoir du pain sur la planche,fr,to have a lot on your plate,"['bread', 'plank']"
Être canon,fr,"to be hot, to fit the standard of beauty",[]
Être à l’ouest,fr,to be spaced out to not be with it.,['west']
Être rouge comme une tomate,fr,to be as red as a beetroot,['tomato']
Être rouge comme une écrevisse,fr,to be as red as a beetroot,['crayfish']
Être rouge comme une pivoine,fr,to be as red as a beetroot,['peony']
Être crevé,fr,"to be exhausted, to be extremely tired",[]
Être mal en point,fr,to be in a bad state,['point']
En avoir ras le bol,fr,to be fed up with,['bowl']
Avoir la flemme,fr,"to be lazy, can’t be bothered",['laziness']
Avoir une peur bleue de,fr,"to be terrified, to be scared to death of something",['fear']
Ne pas être dans son assiette,fr,to be/feel under the weather,['plate']
Avoir la moutarde qui monte au nez,fr,to lose your temper,"['mustard', 'nose']"
Être au taquet,fr,to be going flat out to be going full throttle to be full on,['cleat']
Avoir la gueule de bois,fr,to have a hangover,"['mouth', 'wood']"
Avoir un chat dans la gorge,fr,To have a frog in one’s throat.,"['cat', 'throat']"
Être bien dans sa peau,fr,to be comfortable in your own skin to feel good about yourself,['skin']
Avoir un QI d’huître,fr,to be stupid,"['IQ', 'Oyster']"
Avoir un poil dans la main,fr,to be lazy,"['hair', 'hand']"
Manger sur le pouce,fr,to eat on the go on the run.,['inch']
Boire comme un trou,fr,to drink like a fish to drink heavily,['hole']
Boire un coup,fr,to have a drink,['cut']
Avoir les yeux plus gros que le ventre,fr,to bite off more than you can chew.,"['eye', 'belly']"
