idiom,lang,meaning
Ça marche,fr,"'it functions', but also 'got it' or 'okay'."
Être dans la lune,fr,"to daydream, to pay zero attention."
Ça coûte un bras,fr,It's super expensive.
Faire la grasse matinée,fr,to stay in bed until late in the morning.
Coup de foudre,fr,to fall madly in love at first sight.
Être sage comme une image,fr,it's usually used to define kids who are very calm.
Boire comme un trou,fr,"well, you can guess, I think (hint: the picture of Kermit above)."
Poser un lapin à quelqu'un,fr,to stand someone up (usually used in the dating/romantic scene).
Il fait un froid de canard,fr,it's super duper cold
On n'a pas élevé les cochons ensemble,fr,"you need to respect me more, I'm not your friend, or we have no anterior relations."
Appeler un chat un chat,fr,to say it as it is.
Revenons à nos moutons,fr,let's go back to the topic at hand.
Être une poule mouillée,fr,to be a coward.
La moutarde monte au nez (à quelqu'un),fr,to get really angry.
Tomber dans les pommes,fr,"to faint, to lose consciousness."
Se vendre comme des petits pains,fr,to be in high demand/to be sold very easily.
Recevoir une note salée,fr,to receive a huge surprise bill.
Ce n'est pas tes oignons,fr,it doesn't concern you.
Pas ma tasse de thé,fr,"as it's identical with the English one, I think you can guess what it means."
Gagner des cacahuètes,fr,to receive a very small wage.
aller se faire cuire un œuf,fr,to go jump in the lake
appeler un chat un chat,fr,to call a spade a spade
apporter de l'eau au moulin de quelqu'un,fr,to add grist to somebody's mill
apprendre à un vieux singe à faire des grimaces,fr,"to teach an old dog new tricks (US), to teach granny to suck eggs (UK)"
arriver comme un cheveu sur la soupe,fr,to arrive at the worst possible moment
avoir d’autres chats à fouetter,fr,to have bigger fish to fry
avoir le cafard,fr,to be in the doldrums
avoir des casseroles au cul,fr,to be plagued by scandals
avoir la chair de poule,fr,to have goosebumps
avoir un chat dans la gorge,fr,to have a frog in your throat
avoir le cœur sur la main,fr,to be big-hearted
avoir un coup de foudre,fr,to feel love at first sight
avoir deux mains gauches,fr,to be all thumbs
avoir la gueule de bois,fr,to have a hangover
avoir la moutarde qui monte au nez,fr,"to lose your temper (US), to lose your rag (UK)"
avoir du pain sur la planche,fr,to have a lot on your plate
avoir la pêche / la patate / la frite,fr,"to feel great (US), to be full of beans (UK)"
avoir un poil dans la main,fr,to be bone-lazy
avoir la tête dans le pâté/le cul,fr,to feel groggy
avoir les yeux plus gros que le ventre,fr,to bite off more than you can chew
battre le fer tant qu’il est chaud,fr,to strike while the iron is hot
boire comme un trou,fr,to drink like a fish
casser les pieds à quelqu’un,fr,to drive somebody nuts
casser du sucre sur le dos de quelqu’un,fr,to badmouth somebody behind their back
changer de crèmerie,fr,to take one’s custom elsewhere
chat échaudé craint l'eau froide,fr,"once bitten, twice shy"
chercher midi à quartorze heures,fr,to make things over-complicated
