source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
"En tahdo odottaa, kunnes joku heittää veivinsä.","[""I don't wanna wait till some guy croaks.""]",I don&#39;t want to wait until someone throws in the towel.,idiomatic,"ei tahtoa odottaa , kunnes joku heittää veivä .","['heittää', 'heittää veivä']",20240
Mbungon elättäjä heitti lusikan nurkkaan. Olemme rikkaita!,"[""Mbungo's sugar daddy just took a dirt nap, and we're rich!""]",Mbungo&#39;s breadwinner threw the spoon in the corner. We are rich!,idiomatic,Mbungon elättäjä heittää lusikka nurkka . olla rikas !,"['heittää', 'heittää lusikka nurkka']",20240
Pari päivää sitten hän kolaroi moottoritiellä ja heitti veivinsä.,"['Couple days ago, he crashed into a semi on the freeway and died.']",A couple of days ago he crashed on the highway and threw his fork.,idiomatic,pari päivä sitten hän kolaroida moottori#tie ja heittää veivä .,"['heittää', 'heittää veivä']",20240
- Heittää lusikka nurkkaan.,['- Bit the dust.'],- Throws the spoon into the corner.,idiomatic,- heittää lusikka nurkka .,"['heittää', 'heittää lusikka nurkka']",20240
Kuka tahansa normaali mies olisi heittänyt veivinsä - mutta ei vain meidän Mick.,"['I mean, any normal man would have just turned up his toes and died. But not our Mick.']",Any normal man would have thrown in the towel - but not just our Mick.,idiomatic,kuka tahansa normaali mies olla heittää veivä - mutta ei vain minä Mick .,"['heittää', 'heittää veivä']",20240
Minä heitän sinut.,"[""I'll take you.""]",I will throw you.,idiomatic,minä heittää sinä .,['heittää'],20240
Heitämme pikkuisen herjaa.,['Come on.'],We throw a little slur.,idiomatic,heittää pikkuinen herja .,['heittää'],20240
Heitän vain yhden voimisteluliikkeen...,"[""I'll just do one of my gymnastics moves to...""]",I&#39;ll just throw in one gymnastic move...,idiomatic,heittää vain yksi voimistelu#liike ...,['heittää'],20240
"Sinun olisi pitänyt ottaa minut mukaan tähän isoon päätökseesi - tavasta, jolla isämme heittää lusikan nurkkaan.","[""You should have included me in this huge decision you made about how our father's gonna leave this Earth.""]",You should have included me in this big decision of yours - the way our father throws the spoon in the corner.,idiomatic,"sinä olla pitää ottaa minä mukaan tämä iso päätös - tapa , joka isä heittää lusikka nurkka .","['heittää', 'heittää lusikka nurkka']",20240
Koska saatan pian heittää lusikan nurkkaan...,"['Seeing as I may be rapping on the door momentarily,']",Because I might throw the spoon in the corner soon…,idiomatic,koska saattaa pian heittää lusikka nurkka ...,"['heittää', 'heittää lusikka nurkka']",20240
Mummo heitti veivinsä.,['My grandma croaked.'],Grandma threw her knife.,idiomatic,mummo heittää veivä .,"['heittää', 'heittää veivä']",20240
Muut onki sitte heittäny lusikan nurkkaan.,['All the others have kicked the bucket.'],The others have been thrown into the corner of the spoon.,idiomatic,muu olla sitten heittää lusikka nurkka .,"['heittää', 'heittää lusikka nurkka']",20240
Nuori mies heittää tikkaa baarissa jumalan selän takana.,"[""- Young guy, playing darts in a bar in the middle of nowhere. Yeah... yeah, that's him, that's Neal.""]",A young man throws darts in a bar behind the god&#39;s back.,idiomatic,nuori mies heittää tikka baari jumala selkä takana .,"['heittää', 'jumala selkä takana']",20240
- Että heität tulevaisuutesi kankkulan kaivoon.,"[""I'm afraid you're gonna throw away your whole future.""]",- That you are throwing your future into the well.,idiomatic,- että heittää tulevaisuus kankkula kaivo .,"['heittää', 'kankkula kaivo']",20240
Joko heität työsi ja perheesi kankkulan kaivoon - tai otat taas elämäsi hallintaan.,"[""Either throw away everything you've worked for, including your family, or take back control of your life.""]",Either you throw your job and your family down the drain - or you take control of your life again.,idiomatic,joko heittää työsi ja perheetä kankkula kaivo - tai ottaa taas elämä hallinta .,"['heittää', 'kankkula kaivo']",20240
Haluatko heittää Kankkulan kaivoon ne rahat?,['You want to see that money go out the front door?'],Do you want to throw that money into Kankkula&#39;s well?,idiomatic,haluta heittää kankkula kaivo se raha ?,"['heittää', 'kankkula kaivo']",20240
"Hän soitti suurlähetystöön, joka heitti pallon meille.","['She contacted the embassy in Kabul, and the deputy chief of mission kicked her over to us.']","He called the embassy, which dropped the ball on us.",idiomatic,"hän soittaa suur#lähetystö , joka heittää pallo minä .","['heittää', 'soittaa suu']",20240
"Kun vanha ystäväni Popov heitti veivinsä, panin salkun hyllylle.","['When my old friend Popov died, I put my briefcase on the shelf for good.']","When my old friend Popov threw his knife, I put the briefcase on the shelf.",idiomatic,"kun vanha ystävä Popov heittää veivä , panna salkku hylly .","['heittää', 'heittää veivä']",20240
On tavattava Jack.Avioliitto rakoilee ja olemme aivan auki.,"[""- I have to see Jack. Okay. My marriage is in trouble, We're going broke, and I..""]",We need to meet Jack. The marriage is falling apart and we are wide open.,idiomatic,olla tavata jack.A#vio#liitto rakoilla ja olla aivan auki .,['auki'],11728
Haluan olla täysin perse auki neljässä sekunnissa.,['I want to be completely broke in the next four secds.'],I want to be fully ass-open in four seconds.,idiomatic,haluta olla täysin perse auki neljä sekunti .,['auki'],11728
"Jos haluatte pysyä auki, osallistut päiväseminaariin jossa esitellään käsienpesun 32 vaihetta.","['If you wish to remain open, you will attend a one day seminar exploring the 32 steps of proper hand sanitation.']","If you want to stay open, you will participate in a daily seminar where the 32 steps of hand washing are presented.",idiomatic,"jos haluta pysyä auki , osallistua päivä#seminaari joka esitellä käsi#enpesu 32 vaihe .","['auki', 'vaihe']",11728
Mainitse yksikin toinen kummallisuus. Jäit kiinni rysän päältä varastaessasi kolikoita Loganin aukion lähteestä.,['I caught you stealing a bunch of coins out of the fountain at Logan Circle.'],Name one other oddity. You were caught red-handed stealing coins from the fountain in Logan Square.,idiomatic,mainita yksi toinen kummallisuus . jäädä kiinni rysä päältä varastaa kolikko Logan aukio lähde .,"['auki', 'rysä päältä']",11728
"Ehkä se oli väärin, mutta olin persaukinen.","[""Maybe that was wrong, but I was broke, and that's what I did.""]","Maybe it was wrong, but I was an asshole.",idiomatic,"ehkä se olla väärin , mutta olla persaukinen .","['auki', 'persaukinen']",11728
Mitä persaukinen Randy Newman ajattelee asiasta?,"[""What's broke-ass Randy Newman's take on it?""]",What does Randy Newman think about it?,idiomatic,mikä persaukinen Randy Newman ajatella asia ?,"['auki', 'persaukinen']",11728
Meidät putsattiin persaukiseksi.,['They cleaned us out.'],We were cleaned up.,idiomatic,minä putsata persaukinen .,"['auki', 'persaukinen']",11728
"Et halua mennä kotiin persaukisena, kun John lyö tämän lyönnin.","[""You don't want to go home broke once John makes this shot.""]",You don&#39;t want to go home pissed off when John hits this beat.,idiomatic,"ei haluta mennä koti persaukinen , kun John lyödä tämä lyönti .","['auki', 'persaukinen']",11728
Miten persaukisella olisi varaa 1 500 dollarin aseeseen?,"[""How's a guy that's so broke afford a $1500 handgun?""]","How could a persaukie afford a $1,500 gun?",idiomatic,miten persaukinen olla vara 1 500 dollari ase ?,"['auki', 'persaukinen']",11728
"Jos tunnet olevasi hukassa, - jos haluat puhua, oveni on auki.","[""I only want you to know that if you feel like you're under water, if you need to talk, my door is open.""]","If you feel lost, - if you want to talk, my door is open.",idiomatic,"jos tuntea olla hukassa , - jos haluta puhua , ovi olla auki .","['auki', 'olla hukassa']",11728
Otat riskin Lafayette-aukiolla.,"[""I watch the news. You're going for broke in Lafayette square.""]",You take a risk in Lafayette Square.,idiomatic,ottaa riski lafayette#aukio .,['auki'],11728
Olen persauki.,"[""Okay, I'm broke, man.""]",I&#39;m a persauki.,idiomatic,olla persauki .,['auki'],11728
"lnfektion mahdollisuus kasvaa joka sekunti, jonka hän on auki. Lisäksi tuhlaat tuhansia dollareita, kun seisot siinä tumput suorina.","[""The rate of infection for this patient is increasing every second you keep him open, not to mention the thousands of dollars you're wasting standing here doing nothing.""]","The chance of infection increases every second it is open. Plus, you&#39;ll be wasting thousands of dollars standing there with your butts straight.",idiomatic,"lnfektio mahdollisuus kasvaa joka sekunti , joka hän olla auki . lisäksi tuhla tuhat dollari , kun seisoa se tumpu suora .","['auki', 'tumpu suora']",11728
