source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
"Tout ce que j'ai à faire, c'est crever la dalle une semaine... et je retrouverai la vie infernale que j'avais avant ?","['So all I gotta do is starve and be miserable for a week, then my life will go back to the normal hell it always was?']",All I have to do is starve for a week... and I'll be back to the hellish life I had before?,idiomatic,"tout ce que il avoir à faire , ce être crever le dalle un semaine ... et il retrouver le vie infernal que il avoir avant ?","['être crever', 'crever le dalle']",798
"Ah, Veronica... C'est ce qui s'appelle chercher la petite bête.","['Ah, Veronica... this is really grasping at straws.']","Ah, Veronica... This is what is called looking for the little beast.",idiomatic,"ah , Veronica ... ce être ce qui se appeler chercher le petit bête .",['chercher le petit bête'],49
"Là, ça fait le mec qui cherche la petite bête.",['That will look like nit-picking.'],"Here, it's like the guy looking for the little beast.",idiomatic,"là , ça faire le mec qui chercher le petit bête .",['chercher le petit bête'],49
"- Quoi ? Je vous montre un truc fabuleux, et vous cherchez la petite bête.","['I show you something fantastic, you find fault.']","- What? I'm showing you something fabulous, and you're looking for the smallest thing.",idiomatic,"- quoi ? il il montrer un truc fabuleux , et il chercher le petit bête .",['chercher le petit bête'],49
"Ils cherchent la petite bête, pour que rien ne flanche.","[""Well, I suppose they're all bending over backwards to get this thing right. It's just got to be, you know?""]","They are looking for the little beast, so that nothing goes wrong.",idiomatic,"il chercher le petit bête , pour que rien ne flancher .",['chercher le petit bête'],49
On cherche la petite bête?,"[""Lookin' for some loopholes, huh?""]",Looking for the little beast?,idiomatic,on chercher le petit bête ?,['chercher le petit bête'],49
Je ne m'en séparerai pas pour une bouchée de pain.,['And I will not throw it away for nothing.'],I wouldn't part with it for a pittance.,idiomatic,il ne lui en séparer pas pour un bouchée de pain .,['un bouchée de pain'],47
Ta mère jette l'argent par les fenêtres.,['Your mother is squandering money.'],Your mother throws money around.,idiomatic,tou mère jeter le argent par le fenêtre .,['jeter le argent par le fenêtre'],47
Nous jetons l'argent par les fenêtres.,"[""We're throwing all our dough in""]",We are throwing money away.,idiomatic,il jeter le argent par le fenêtre .,['jeter le argent par le fenêtre'],47
Ça lui apprendra à jeter l'argent par les fenêtres !,"[""I'm going to teach that boy a lesson. Yes, that's what he deserves \x97 throwing nickels around like that.""]",That will teach him to throw money away!,idiomatic,ça lui apprendre à jeter le argent par le fenêtre !,['jeter le argent par le fenêtre'],47
Tout le monde veut aller à McMurdo pour une bouchée de pain.,['Everybody is looking for a cheap ride out to McMurdo.'],Everyone wants to go to McMurdo for a pittance.,idiomatic,tout le monde vouloir aller à McMurdo pour un bouchée de pain .,['un bouchée de pain'],47
"Sinon, d'ici vendredi, York pourra acheter Ojai pour une bouchée de pain et il ne nous restera rien.","[""Well, it's better than what most people do at odd hours on a computer.""]","Otherwise, by Friday, York can buy Ojai for a pittance and we'll have nothing left.",idiomatic,"sinon , de ici vendredi , York pouvoir acheter Ojai pour un bouchée de pain et il ne il rester rien .",['un bouchée de pain'],47
"Tu as passé ta vie à flamber, à jeter l'argent par les fenêtres.",['You spent your life squandering your money.'],"You've spent your life flaming out, throwing money away.",idiomatic,"il avoir passer ta vie à flamber , à jeter le argent par le fenêtre .",['jeter le argent par le fenêtre'],47
Ils l'achetèrent pour une bouchée de pain.,"['They step in, they buy it for a pittance.']",They bought it for a pittance.,idiomatic,il le acheter pour un bouchée de pain .,['un bouchée de pain'],47
"MacGyver, Khan te vendrait pour une bouchée de pain, tu le sais ?","['MacGyver, Khan would sell you down for a second cup of coffee, you know?']","MacGyver, Khan would sell you for a song, you know that?",idiomatic,"MacGyver , Khan lui vendre pour un bouchée de pain , il le savoir ?",['un bouchée de pain'],47
On résout les problèmes en jetant l'argent par les fenêtres ?,"[""That's the spirit. Solving problems by throwing money at them.""]",Do we solve problems by throwing money at them?,idiomatic,on résoudre le problème en jeter le argent par le fenêtre ?,['jeter le argent par le fenêtre'],47
Je prends mon courage à deux mains.,['Start getting a little brave.'],I take my courage in both hands.,idiomatic,il prendre son courage à deux main .,['prendre son courage à deux main'],44
Tu crois que je raconte des salades ? - C'est ça ?,['Are you calling me a liar?'],You think I'm bullshitting? - Is that it?,idiomatic,de le croire que il raconter un salade ? - ce être ça ?,['raconter un salade'],44
Mike prit son courage à deux mains pour aller voir son frère.,"[""So Mike sucked it up and went over to his brother's house.""]",Mike plucked up the courage to go to his brother.,idiomatic,Mike prendre son courage à deux main pour aller voir son frère .,['prendre son courage à deux main'],44
Prendre son courage à deux mains pour dire à Rogelio qu'elle avait fait vœu de chasteté était plus difficile que ce que Xiomara pensait.,['Working up the courage to tell Rogelio about her vow of chastity was proving harder than Xiomara had anticipated.'],Getting up the courage to tell Rogelio that she had taken a vow of chastity was more difficult than Xiomara thought.,idiomatic,prendre son courage à deux main pour dire à Rogelio que il avoir faire vœu de chasteté être plus difficile que ce que Xiomara penser .,['prendre son courage à deux main'],44
"Il nous a raconté des salades, puis nous a drogués et enfermés dans un frigo.","['He tells us this crazy story, then he drugs us and locks us in a freezer.']","He told us a bunch of crap, then drugged us and locked us in a fridge.",idiomatic,"il il avoir raconter un salade , puis il avoir droguer et enfermer dans un frigo .",['raconter un salade'],44
