source,hypothesis,references,cond,lemmatized,idioms_in_sents,freq
"""Il faut souffrir pour être beau."" Essayez, ça marche.
","""You have to suffer to be beautiful."" Try it, it works.
","[""Beauty Knows No Pain. just try it. It's gotten more ladies through my class...\n""]",1,""" il falloir souffrir pour être beau . "" essayer , ça marcher .","['ça marcher', 'il falloir souffrir pour être beau']",12211
"Même si ça me coûte les yeux de la tête, pour payer ses études, je remercie Dieu de pouvoir encore boire un coup.
","Even if it costs me an arm and a leg to pay for his education, I thank God I can still have a drink.
","[""Considering it costs me an arm and a leg to pay for his education I'm thankful I can afford to drink\n""]",1,"même si ça se coûter le œil de le tête , pour payer son étude , il remercier Dieu de pouvoir encore boire un coup .","['boire un coup', 'coûter le œil de le tête']",561
"Ah la vache, j'en ai la chair de poule.
","Damn, I got goose bumps.
",['Oh my God I got goose bumps.\n'],1,"ah le vache , il en avoir le chair de poule .","['avoir le chair de poule', 'ah le vache']",126
"Tu aurais pu en prendre de la graine.
","You could have learned something.
","[""You could have followed others' lead.\n""]",1,il avoir pouvoir en prendre de le graine .,['en prendre de le graine'],20
"Ce serait à lui de m'écouter, pour en prendre de la graine.
","It would be up to him to listen to me, to learn from it.
","[""L... I don't have all the answers. But maybe he should listen to me more and learn a little.\n""]",1,"ce être à lui de lui écouter , pour en prendre de le graine .",['en prendre de le graine'],20
"- Oui, tu devrais en prendre de la graine.
","- Yeah, you should learn something.
",['- You should take a page from his book.\n'],1,"- oui , il devoir en prendre de le graine .",['en prendre de le graine'],20
"Je devrais en prendre de la graine.
","I should learn something.
",['I should learn from you.\n'],1,il devoir en prendre de le graine .,['en prendre de le graine'],20
"Ton équipe pourrait en prendre de la graine.
","Your team could learn something.
",['Something your team could learn about.\n'],1,son équipe pouvoir en prendre de le graine .,['en prendre de le graine'],20
"Je fais le pont du 4 Juillet. Je resterai 3 jours.
","I'm doing the Fourth of July bridge, so I'll be here for three days.
","[""Yeah, I'm taking the 4th off, so I'll be there for three days.\n""]",1,il faire le pont de le 4 juillet . il rester 3 jour .,['faire le pont'],19
"Je me démène pour qu'ils soient adoptés, et pleure comme une madeleine quand ils partent.
","I work my ass off to get them adopted, and I cry like a baby when they leave.
",['I work like fury to get them adopted and then cry like a fool when they go.\n'],1,"il se démener pour que il être adopter , et pleurer comme un madeleine quand il partir .",['pleurer comme un madeleine'],19
"Oui, je pleurais comme une madeleine, mais j'en ai fini avec les larmes.
","Yeah, I was crying like a baby, but I'm done crying.
","[""Yes, I used to weep salt tears about it, but I've done with tears forever, okay?\n""]",1,"oui , il pleurer comme un madeleine , mais il en avoir finir avec le larme .",['pleurer comme un madeleine'],19
"Tu sais, les deux enfants sont à St Margaret maintenant, et ça nous coûte les yeux de la tête.
","You know, the two kids are in St. Margaret's now, and it's costing us an arm and a leg.
","[""You know, both kids are at St. Margaret's now, and that costs an arm and a leg.\n""]",1,"il savoir , le deux enfant être à Saint Margaret maintenant , et ça il coûter le œil de le tête .",['coûter le œil de le tête'],19
"Mais Carthagène, ça coûte les yeux de la tête.
","But Cartagena, it costs a lot of money.
","[""But I'll tell you, Cartagena is really expensive.\n""]",1,"mais Carthagène , ça coûter le œil de le tête .",['coûter le œil de le tête'],19
"Ça me coûte les yeux de la tête.
","It's costing me an arm and a leg.
",['That costs me an arm and a leg.\n'],1,ça se coûter le œil de le tête .,['coûter le œil de le tête'],19
"Ça m'a coûté les yeux de la tête.
","It cost me an arm and a leg.
","[""You have no idea how much money I've spent on dolls.\n""]",1,ça lui avoir coûter le œil de le tête .,['coûter le œil de le tête'],19
"C'est dépassé et ça coûte les yeux de la tête.
","It's outdated and expensive.
","[""It's outdated and expensive as shit.\n""]",1,ce être dépasser et ça coûter le œil de le tête .,['coûter le œil de le tête'],19
"Je le regarde, et Mr Beau-Gosse, ici présent, pleure comme une madeleine.
","I look at him, and Mr. Beau-Gosse here cries like a baby.
","['I look over, and Pretty Boy here is bawling his eyes out.\n']",1,"il le regarder , et monsieur Beau-Gosse , ici présent , pleurer comme un madeleine .",['pleurer comme un madeleine'],19
"elle a même pleuré comme une madeleine parce qu'il lui manquait. ce n'est pas comme si je n'avais pas utilisé Hye Ri.
","She even cried like a baby because she missed him. It's not like I didn't use Hye Ri.
","['Lawyer. His name was Seo-Dong-Gun. Do you know him, by any chance?\n']",1,il avoir même pleurer comme un madeleine parce que il lui manquer . ce ne être pas comme si il ne avoir pas utiliser Hye Ri .,['pleurer comme un madeleine'],19
"Une année, il m'a apporté une Barbie et j'ai pleuré comme une madeleine.
","One year, he brought me a Barbie and I cried like a baby.
",['He brought me a barbie and i bailed my eyes out.\n'],1,"un année , il lui avoir apporter un Barbie et il avoir pleurer comme un madeleine .",['pleurer comme un madeleine'],19
"Tu crois qu'Elliot est en train de pleurer comme une madeleine ?
","You think Elliot's crying his eyes out?
","[""Do you think Elliot's somewhere right now, crying her eyes out?\n""]",1,de le croire que Elliot être en train de pleurer comme un madeleine ?,"['pleurer comme un madeleine', 'être en train de']",19
"La dernière fois que je vous ai vu... vous étiez en train de pleurer comme une madeleine.
","The last time I saw you... you were crying like a baby.
",['Have you come to talk about marriage?\n'],1,le dernier fois que il il avoir voir ... il être en train de pleurer comme un madeleine .,"['pleurer comme un madeleine', 'être en train de']",19
"L'habit ne fait pas le moine.
","Clothes don't make the man.
","[""Not everything's as it seems\n""]",1,le habit ne faire pas le moine .,['le habit ne faire pas le moine'],18
"J'avais un chat dans la gorge.
","I had a cat in my throat.
",['Just got a frog in my throat.\n'],1,il avoir un chat dans le gorge .,['avoir un chat dans le gorge'],18
"- l'habit ne fait pas le moine.
","- Clothes don't make the man.
","[""- One man's ceiling is another man's floor.\n""]",1,- le habit ne faire pas le moine .,['le habit ne faire pas le moine'],18
"Je dois avoir deux mains gauches.
","I must have two left hands.
",['I think I have two left hands.\n'],1,il devoir avoir deux main gauche .,['avoir deux main gauche'],18
"L'habit ne fait pas le moine, pas vrai, les gars ?
","Clothes don't make the man, do they, boys?
","[""Sure as shit can't tell a book by its cover, huh, boys?\n""]",1,"le habit ne faire pas le moine , pas vrai , le gars ?",['le habit ne faire pas le moine'],18
"Tu as deux mains gauches !
","You have two left hands!
",['You got hands like bricks!\n'],1,il avoir deux main gauche !,['avoir deux main gauche'],18
"Parfois, j'ai deux mains gauches.
","Sometimes I have two left hands.
","[""Sometimes I'm just all thumbs.\n""]",1,"parfois , il avoir deux main gauche .",['avoir deux main gauche'],18
"- Eh oui, l'habit ne fait pas le moine.
","- Yes, clothes don't make the man.
","[""Yes, clothes don't make the man.\n""]",1,"- eh oui , le habit ne faire pas le moine .",['le habit ne faire pas le moine'],18
"""L'habit ne fait pas le moine"".
","""Don't judge a book by its cover.""
","['""A wolf in sheep\'s clothing.""\n']",1,""" le habit ne faire pas le moine "" .",['le habit ne faire pas le moine'],18
"Il a un chat dans la gorge.
","He's got a cat in his throat.
","[""He's just a little hoarse.\n""]",1,il avoir un chat dans le gorge .,['avoir un chat dans le gorge'],18
"J'ai dû avoir un chat dans la gorge.
","I must have had a cat in my throat.
","[""Must've been a frog in my throat.\n""]",1,il avoir devoir avoir un chat dans le gorge .,['avoir un chat dans le gorge'],18
"- Vous avez un chat dans la gorge ! - Oui.
","- You've got a cat in your throat!
","[""- You've got a frog in your throat.\n""]",1,- il avoir un chat dans le gorge ! - oui .,['avoir un chat dans le gorge'],18
"Quand je dis son prénom, c'est comme si j'avais un chat dans la gorge.
","When I say her name, it's like a cat in my throat.
","[""It's easy to pronounce. Every time I try to say her name, I get a hairball.\n""]",1,"quand il dire son prénom , ce être comme si il avoir un chat dans le gorge .",['avoir un chat dans le gorge'],18
"Sally, tu as deux mains gauches ce soir.
","Sally, you've got two left hands tonight.
","['Oh, Sally, you are fingers and thumbs tonight.\n']",1,"Sally , il avoir deux main gauche ce soir .",['avoir deux main gauche'],18
"Je le ferais bien moi-même, mais j'ai deux mains gauches.
","I'd do it myself, but I've got two left hands.
","[""I would do it myself, but I am all thumbs. Yeah, I'm sorry about that.\n""]",1,"il le faire bien lui-même , mais il avoir deux main gauche .",['avoir deux main gauche'],18
"Il a commencé à boire comme un trou.
","He started drinking like a fish.
",['Started drinking like a fish.\n'],1,il avoir commencer à boire comme un trou .,['boire comme un trou'],17
"Ils boivent comme des trous.
","They drink like fish.
","[""They're drinkin' like fishes.\n""]",1,il boire comme un trou .,['boire comme un trou'],17
"""Putain de salope, arrête de boire comme un trou au déjeuner.
","""You fucking bitch, stop drinking so much at lunch.
","[""You shouldn't have drank so much water at lunch!\n""]",1,""" putain de salope , arrêter de boire comme un trou à le déjeuner .",['boire comme un trou'],17
"Elle a commencé à boire comme un trou.
","She started drinking like a fish.
",['She started a drinking binge.\n'],1,il avoir commencer à boire comme un trou .,['boire comme un trou'],17
"Vous avez dû boire comme des trous.
","You must have been drinking like crazy.
",['How much did you drink?\n'],1,il avoir devoir boire comme un trou .,['boire comme un trou'],17
"Si Eaton les convainc d'être des martyres et d'accepter les 30 jours, les carottes sont cuites.
","If Eaton convinces them to be martyrs and accept the 30 days, the carrots are cooked.
","[""He doesn't have a right to be deaf, so he'll have to listen to what we have to say. First thing, there's nothing in your file about children.\n""]",1,"si Eaton le convaincre de être de le martyre et de accepter le 30 jour , le carotte être cuire .",['le carotte être cuire'],16
"Tu sais, la goutte d'eau qui fait déborder le vase...
","You know, the straw that broke the camel's back?
","[""Did you ever hear about the straw that broke the camel's back?\n""]",1,"il savoir , le goutte de eau qui faire déborder le vase ...",['le goutte de eau qui faire déborder le vase'],16
"Vous vous dites, ""Les carottes sont cuites!
","You're thinking, ""The carrots are cooked!
","['You\'re saying to yourself, ""The jig is up!\n']",1,"il il dire , "" le carotte être cuire !",['le carotte être cuire'],16
"Il a fait l'andouille et maintenant il en récolte les fruits .
","He made a fool of himself and now he's reaping the fruit.
",['He acted like a jerk and now he caught it in the butt.\n'],1,il avoir faire le andouille et maintenant il en récolter le fruit .,['faire le andouille'],16
"Il faut souffrir pour être beau !
","You have to suffer to be beautiful!
",['Agony fashion !\n'],1,il falloir souffrir pour être beau !,['il falloir souffrir pour être beau'],16
"Il faut souffrir pour être beau.
","You have to suffer to be beautiful.
","['No pain, no gain.\n']",1,il falloir souffrir pour être beau .,['il falloir souffrir pour être beau'],16
"Pourquoi tu te crois toujours obligé de faire l'andouille ?
","Why do you always think you have to play dumb?
",['Why do you have to act like an idiot?\n'],1,pourquoi il lui croire toujours obliger de faire le andouille ?,['faire le andouille'],16
"C'est la goutte d'eau qui fait déborder le vase.
","That's the last straw.
","[""That's the last straw. I'm going over there.\n""]",1,ce être le goutte de eau qui faire déborder le vase .,['le goutte de eau qui faire déborder le vase'],16
"Quand on était petits, on croyait que maman faisait l'andouille.
","When we were kids, we thought Mom was just being silly.
",['Remember when we were kids and we thought mom was just being silly?\n'],1,"quand on être petit , on croire que maman faire le andouille .",['faire le andouille'],16
"Pour la Fox, c'était la goutte d'eau qui faisait déborder le vase.
","For Fox, it was the last straw.
","['For Fox, this was the final straw.\n']",1,"pour le Fox , ce être le goutte de eau qui faire déborder le vase .",['le goutte de eau qui faire déborder le vase'],16
"Il faut souffrir pour être belle.
","You have to suffer to be beautiful.
","[""And that's a good thing?\n""]",1,il falloir souffrir pour être beau .,['il falloir souffrir pour être beau'],16
"Oh, mon gars, les carottes sont cuites.
","Oh, boy, the carrots are cooked.
","['Oh, boy, my goose is cooked now.\n']",1,"oh , son gars , le carotte être cuire .",['le carotte être cuire'],16
"Si les enfants font les andouilles, on peut leur mettre une gifle.
","You know, if the kids are being stupid, they can get slapped.
","[""If the kid's misbehaving behind you, you can reach and whack him.\n""]",1,"si le enfant faire le andouille , on pouvoir lui mettre un gifler .",['faire le andouille'],16
"Ce fut la goutte d'eau qui fit déborder le vase.
","It was the last straw.
",['And that pushed me over the edge.\n'],1,ce être le goutte de eau qui faire déborder le vase .,['le goutte de eau qui faire déborder le vase'],16
"Il faut souffrir pour être belle, chérie.
","You have to suffer to be beautiful, honey.
","['Beauty is pain, baby.\n']",1,"il falloir souffrir pour être beau , chéri .",['il falloir souffrir pour être beau'],16
