source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
"Je sais que tu as besoin d'espace, mais tu ne peux pas en avoir, car Alex est en train de tourner la page.","[""I know you want space, but you can't have space, because Alex might be moving on.""]","I know you need space, but you can&#39;t get it, because Alex is closing the page.",idiomatic,"il savoir que il avoir besoin de espace , mais il ne pouvoir pas en avoir , car Alex être en train de tourner le page .","['être en train de', 'tourner le page']",25209
"Je suis en train de tourner la page, vraiment, je travaille dur pour tourner la page.","[""I'm getting over this. I am. I'm working really hard to get over this.""]","I&#39;m turning the page, really, I&#39;m working hard to turn the page.",idiomatic,"il être en train de tourner le page , vraiment , il travailler dur pour tourner le page .","['être en train de', 'tourner le page']",25209
"et j'étais en train de me branler. C'est ça que tu veux, ah?",['I was under your window and I was jerking off.'],"and I was jerking off. That&#39;s what you want, huh?",idiomatic,"et il être en train de se branler . ce être ça que il vouloir , ahant",['être en train de'],25209
"Quoi que tu sois en train de faire, ça marche.","[""Whatever you're doing in there, it's working.""]","Whatever you are doing, it works.",idiomatic,"quoi que il être en train de faire , ça marcher .","['être en train de', 'ça marcher']",25209
"Elle prend un bain ou quoi ? Si t'es en train de te baptiser, c'est pas comme ça que ça marche !","[""It doesn't count if you try to baptize yourself.""]","Is she taking a bath or what? If you&#39;re baptizing yourself, that&#39;s not how it works!",idiomatic,"il prendre un bain ou quoi ? si lui être en train de lui baptiser , ce être pas comme ça que ça marcher !","['être en train de', 'ça marcher']",25209
"On est en train de chercher une solution, mais si ça marche pas, tu sais ce que tu dois faire ?","[""We're trying to solve it, but you know what to do... if it doesn't work out, right?""]","We&#39;re looking for a solution, but if it doesn&#39;t work, do you know what to do?",idiomatic,"on être en train de chercher un solution , mais si ça marcher pas , il savoir ce que il devoir faire ?","['être en train de', 'ça marcher']",25209
Nous sommes en train d'en avoir marre l'un de l'autre.,"[""We're slowly getting sick of each other.""]",We are getting fed up with each other.,idiomatic,il être en train de en avoir marrer le un de le autre .,"['être en train de', 'en avoir marre']",25209
"Il bâille, mais pas la suspecte qu'il est en train d'interroger.","[""He yawns, but not the suspect he's questioning.""]","He yawns, but not the suspect he is interrogating.",idiomatic,"il bâiller , mais pas le suspect que il être en train de interroger .",['être en train de'],25209
Tu es en train de faire un sandwich ou attirer un cerf ?,['Were you making a sandwich or attracting deer?'],Are you making a sandwich or attracting a deer?,idiomatic,il être en train de faire un sandwich ou attirer un cerf ?,['être en train de'],25209
"Je ne savais pas que c'était si mal d'épouser quelqu'un que j'aimais, et ne pas ne pas savoir qu'en me mariant avec cette personne dont je suis si amoureuse, que j'étais en train de laisser tomber la communauté Gay toute entière.","[""I didn't know that it was wrong to marry somebody that I was in love with, and I didn't know that by marrying someone I'm very much in love with, I was letting down the entire gay community.""]","I didn&#39;t know it was so wrong to marry someone I loved, and not not knowing that by marrying this person I&#39;m so in love with, that I was letting go the entire gay community.",idiomatic,"il ne savoir pas que ce être si mal de épouser quelqu'un que il aimer , et ne pas ne pas savoir que en se marier avec ce personne dont il être si amoureux , que il être en train de laisser tomber le communauté Gay tout entier .",['être en train de'],25209
