contains_idioms,text,original_text
ah le vache,- And your grandfathers?,Ils avaient des brosses impeccables - Ah la vache !
ah le vache,He sure had it coming.,Ah la vache ! il l'a pas volé !
ah le vache,Bloody hell,Ah la vache...
ah le vache,"Oh my God, who's winning so far?","Salut. Ah la vache, ils sont costauds, ceux-là."
ah le vache,- Holy moly.,Ah la vache!
ah le vache,Holy cow!,Ah la vache !
ah le vache,It's the salmon guy!,"Ah la vache, c'est le saumon."
ah le vache,it's a fax from Forensics,"Ah la vache, on a un fax de l'IJ."
ah le vache,"- Attention! - Oh, boy.",Ah la vache.
ah le vache,"All right, all right, all right.","- D'accord, d'accord. Ah la vache..."
aller droit à le but,"And now, a young lady who goes to third base faster than Rickey Henderson my sister, Roberta Tubbs.","Et maintenant, une jeune femme qui va droit au but, ma sœur, Roberta Tubbs."
aller droit à le but,"Becca, there is no easy way to say this...","Rebecca, je... je vais aller droit au but."
aller droit à le but,"Let's cut to the chase, shall we?","Allons droit au but, veux-tu ?"
aller droit à le but,"All right, so let's cut to The Chase.",Allons droit au but...
aller droit à le but,"You don't mind if we, uh, jump right in?",Ça ne vous dérange pas si on va droit au but ?
aller droit à le but,"Indeed,gentlemen,let me c to the chase.","De fait, Messieurs, je vais aller droit au but."
aller droit à le but,"Well, I... I'll get right on that.",Je vais aller droit au but.
aller droit à le but,Straightforward question.,C'est une question qui va droit au but.
aller droit à le but,"Therefore, I shall get straight to the point.","C'est pourquoi, messieurs, je vais aller droit au but."
aller droit à le but,Focus. Keep it simple.,Concentre-toi et va droit au but.
aller droit à le but,"Now, you all know me, so I'll just say this as simple as I can.","Vous me connaissez, alors je vais aller droit au but."
aller droit à le but,"Should we get right to it, Captain?",VouIez-vous aller droit au but?
aller droit à le but,We're gonna keep this simple.,Nous allons aller droit au but.
aller droit à le but,"Look, can we just cut to the chase here?",Est-ce qu'on peut aller droit au but?
aller droit à le but,Let me cut to the chase. I hear you can't get a date for the winter formal.,"Je vais aller droit au but. Tu es seul pour la soirée de Noël, non?"
aller droit à le but,"OK, let's get something straight.",Très bien Allons droit au but
aller droit à le but,"This way, they can advance all the way home on just one move.","De cette manière, ils iront droit au but en un seul coup."
aller droit à le but,"Well, might be a little harsh, but I think it makes a point.","Eh bien, c'est brutal, mais ça va droit au but."
aller droit à le but,"Well, let's get right to it then. Cyrus, meet Sanders Black.","Bon, allons droit au but alors.Cyrus, je te présente Sanders Black."
aller droit à le but,Don't make any long explanations and just get to the point.,Ne me sors pas une longue explication et va droit au but.
aller droit à le but,"Well,if you drill it down,it means the company knew asbestos was causing cancer.","Eh bien, allons droit au but, ça signifie que l'entreprise savait que l'amiante provoquait le cancer."
aller droit à le but,"Get to the point, Mr. Morelli.",Allez droit au but.
aller droit à le but,Then I'm gonna have to sort of condense this maybe make it more of a bullet-point thing.,Alors je vais résumer ça et aller droit au but.
aller droit à le but,Why don 't we cut the crap and talk straight?,Si on allait droit au but ?
aller droit à le but,"Let's cut through the facade, Agent Burke.","Allons droit au but, Agent Burke."
aller droit à le but,"Way to get right to the point, Dad. (QUINN LAUGHING)","Tu vas droit au but, papa."
aller droit à le but,I just thought we might expedite.,Je pensais juste qu'on pourrait aller droit au but.
aller droit à le but,"Since you're busy, I will just get to the point.","Je sais que vous êtes occupée, aussi je vais aller droit au but."
aller droit à le but,Pleasantries out of the way. Let's get down to the heart of the matter.,"Trêve de plaisanteries, allons droit au but."
aller droit à le but,"That's my girl, straight and to the point.","Tu es bien ma fille, tu vas droit au but."
aller droit à le but,"So, if you went straight to the point?","Alors, si t'allais droit au but ?"
aller droit à le but,There's no plot in these things any more. Just straight in there.,"Il y a aucune intrigue de nos jours, ça va droit au but."
aller droit à le but,"Louise is holding dinner for me, so let's have it.","Louise m'attend pour dîner, allons droit au but."
aller droit à le but,"While I'd love to go on trading jabs with you, Spike, perhaps I'll come to the point.","J'adorerais me battre avec toi, mais je préfère aller droit au but."
aller droit à le but,You look like a man who likes to get right to the point...,Vous semblez aller droit au but.
aller droit à le but,The plant is wonderful. But can we get straight to business.,"Votre usine est remarquable, mais puis-je aller droit au but ?"
aller droit à le but,"Well, lets get to it.","Bon, allons droit au but."
aller droit à le but,"We can just get right to the point, Milo.","Je vais aller droit au but, Milo."
aller droit à le but,"So anyway, let's get to the point of it and that, right?","Bon, allons droit au but, d'accord ?"
aller droit à le but,"So anyways, let's get down to the nitty-gritty.","Enfin bref, allons droit au but."
aller droit à le but,"- He gets right to the point. - Hi, honey.",Il va droit au but.
aller droit à le but,-Can we get to the point here?,- On peut aller droit au but ?
aller droit à le but,"Let's cut to the chase, where's the dope?","Allons droit au but, où est la drogue ?"
aller droit à le but,"People are starting to look, so let's just move it along, okay?","Les gens commencent à s'interroger alors va droit au but, d'accord ?"
aller droit à le but,Just cut to the chase.,- Allons droit au but.
aller droit à le but,Let's get on to the important stuff - the raffle!,"Maintenant, allons droit au but - le tirage au sort!"
aller droit à le but,"Miss Walker, I know you're busy, so let's-- let's get, uh, right to the nitty-gritty","Vous êtes très occupée, alors allons droit au but."
aller droit à le but,"May I... as you say in America, cut right to the chase, professor?","Puis-je... comme on dit chez vous, aller droit au but, professeur?"
aller droit à le but,"Okay, you already know me and I already know you so... why don't we not play any games and you can start by telling me why you're here.","Nous nous connaissons, alors, allons droit au but et dites pourquoi vous êtes ici."
aller droit à le but,"I'll be at your side despite your insults, a revolutionary aims straight to the goal, at all costs.","Je serai à vos côtés malgré vos insultes, parce qu'un révolutionnaire va droit au but, coûte que coûte."
aller droit à le but,- Straight to the point.,- Tu vas droit au but.
aller droit à le but,"Honey, sometimes it's not the most perfect timing To get straight to the point.","Chéri, il vaut parfois mieux éviter d'aller droit au but."
aller droit à le but,"But why don't we just cut to the chase, then, and see if this doesn't have Connie's DNA on it?","Mais allons droit au but, et voyons s'il n'y a pas de l'ADN de Connie dessus ?"
aller droit à le but,"I'm gonna get right to the point, Jack.","Je vais aller droit au but, Jack."
aller droit à le but,"- Hey, let me cut to the chase.",- Je vais aller droit au but.
aller droit à le but,Makes it easy to get to the point.,J'irais droit au but.
aller droit à le but,"Skip the small talk, ask the questions that really matter to you, and your match may be here.","Laissez tomber les formalités, allez droit au but, votre idéal est peut-être ici."
aller droit à le but,"ALL RIGHT, LET'S GET TO IT. WHEN AND WHERE ?","D'accord, allons droit au but."
aller droit à le but,"All bullshit aside, Sister, I want God to pick me.","Pour aller droit au but, ma Soeur, je veux que Dieu me choisisse."
aller droit à le but,"Toby, if you have something to say, please say it.","Toby, allez droit au but, je vous en prie."
aller droit à le but,"Well, I'll get right to it.","Bien, J'irais droit au but."
aller droit à le but,"E, let's just cut to the chase.","E, allons droit au but."
aller droit à le but,"Let's cut to the chase, so we can all get out of here and go home. Okay.","Allons droit au but, qu'on puisse vite rentrer chez nous."
aller droit à le but,"But if you need something, you should let me know.","Si tu veux quelque chose, va droit au but."
aller droit à le but,"Um, I guess I should just, uh, jump right into this.",Je devrais aller droit au but.
aller droit à le but,Let me get this straight.,Laisse-moi aller droit au but.
aller droit à le but,"Let's cut the bullshit, then, is this because she's black?",Allons droit au but : est-ce parce qu'elle est Noire ?
aller droit à le but,"She knows what she wants, and she asks for it.",Elle sait ce qu'elle veut et va droit au but!
aller droit à le but,"- Tessa, let me just cut to the chase.","Tessa, je vais aller droit au but."
aller droit à le but,"Well, you walked right into that one.","Eh bien, tu es allé droit au but avec celle-la."
aller droit à le but,"Well, let's hash it out.","Bien, allons droit au but."
aller droit à le but,How about we get to the point of this exercise?,Si vous alliez droit au but ? Entendu.
aller droit à le but,Larry? I want to get right to the point.,"Larry, je vais aller droit au but."
aller droit à le but,Let me cut to the chase.,Permettez-moi d'aller droit au but.
aller droit à le but,"Since you know everything, let's get to the bottom line","Si vous êtes au courant de tout, allons droit au but."
aller droit à le but,"You're a very busy man, clearly, so we'll get right to the point.","Vous êtes un homme très occupé, clairement, alors nous allons droit au but."
aller droit à le but,You go right at a thing.,Tu vas droit au but.
aller droit à le but,"Uh, getting right to the point, we have an eye on one of your students.","Pour aller droit au but, On s'intéresse à un de vos élèves."
aller droit à le but,Just call someone a hippie and get to the point.,Insulte-les de hippies et va droit au but.
aller droit à le but,"And judging by your looks, I'm just gonna get right to it.","Et à en juger par vos regards, je vais aller droit au but."
aller droit à le but,I thought you brought me here because we were gonna cut through the bullshit.,Je croyais qu'on irait droit au but.
