source,references,hypothesis,trans_error,human_error,ambiguous,error_type
Tuoko oli luonteva aasinsilta?,And that was actually your segue?,Was that a natural bridge?,,,,
"Siinäpä aasinsilta muistoihin, eikö?","Now, there's a trip down memory lane.","That's a bridge to the memories, isn't it?",,,,
Mikä onkin loistava aasinsilta seuraavaan asiaani.,Which brings me to our next order of business.,Which is a great bridge to my next point.,,,,
Yritäpä vielä asettua poikkiteloin.,"Just do me a favor, man...",Try again to settle in with a crossbar.,,,,
"Jos asettuisin poikkiteloin, Penelope tekisi elämästäni helvettiä.","If I even dreamed of defecting, Penelope would make my life hell.","If I settled across the street, Penelope would make my life a living hell.",,,,
Enää en asetu poikkiteloin.,"William, I'm not going to get in your way no more.",I will no longer be cross-legged.,,,,
Poliisi räjäyttää näillä paukuilla lukot auki.,Shredders. The police and DEA use these to blow locks.,The police use these bangs to blow the locks off.,,,,
- Odota. Vetoketjusi on auki.,"Okay... no, wait, wait wait!",- Wait. Your zipper is open.,,,,
Älä enää koskaan jätä oveani auki.,And more cran-tastic. Don't ever leave my door open like that again.,Never leave my door open again.,,,,
"Kapteeni, älkää katsoko, mutta tallinne ovet ovat auki ja hevoset karkaavat.","Oh, Captain, don't look now, but your barn door's open and your cows are getting out.","Captain, don't look now, but your stable doors are open and the horses are running away.",,,,
"Portti jäi auki, hevoset karkasivat.",I forgot to close the gate last night. The horses are gone!,"The gate was left open, the horses ran away.",,,,
"Jos tunnet olevasi hukassa, - jos haluat puhua, oveni on auki.","I only want you to know that if you feel like you're under water, if you need to talk, my door is open.","If you feel lost - if you want to talk, my door is open.",,,,
"Ehkä se oli väärin, mutta olin persaukinen.","Maybe that was wrong, but I was broke, and that's what I did.","Maybe it was wrong, but I was an asshole.",,,,
Mitä persaukinen Randy Newman ajattelee asiasta?,What's broke-ass Randy Newman's take on it?,What does asshole Randy Newman think about it?,,,,
Meidät putsattiin persaukiseksi.,They cleaned us out.,We were cleaned up like an asshole.,,,,
Mainitse yksikin toinen kummallisuus. Jäit kiinni rysän päältä varastaessasi kolikoita Loganin aukion lähteestä.,I caught you stealing a bunch of coins out of the fountain at Logan Circle.,Mention one other oddity. You got caught stealing coins from the fountain in Logan Square.,,,,
- Takki auki!,–Open your jacket!,- Open your jacket!,,,,
"Hänellä on ollut kylpytakki auki 30 vuotta, mutta nyt hän ei ole säädyllinen.",The woman hasn't tied her robe in 20 years. Suddenly she's not decent?,"He has had his bathrobe open for 30 years, but now he is not decent.",,,,
"Kun saavuin, hän seisoi käytävällä aamutakki auki ja näytti villiltä.","I got there, Yvette, I walked in, she was standing in the hallway looking wild, robe open, no gown, breasts hanging, just looking wild.","When I arrived, he was standing in the corridor with his dressing gown open and looking wild.",,,,
Tässä vaiheessa pelin tulos on vielä täysin auki.,It's anybody's fight at this point.,"At this stage, the outcome of the game is still completely open.",,,,
