source,references,hypothesis,trans_error,human_error,ambiguous,error_type
Ah la vache!,- Holy moly.,Oh my!,,,,
Ah la vache ! il l'a pas volé !,He sure had it coming.,Oh boy! He didn't steal it!,,,,
Ah la vache !,Holy cow!,Oh boy!,,,,
Insulte-les de hippies et va droit au but.,Just call someone a hippie and get to the point.,Call them hippies and get to the point.,,,,
"Eh bien, tu es allé droit au but avec celle-la.","Well, you walked right into that one.","Well, you got right to the point with this one.",,,,
"Chéri, il vaut parfois mieux éviter d'aller droit au but.","Honey, sometimes it's not the most perfect timing To get straight to the point.","Honey, sometimes it's best not to get right to the point.",,,,
J'en ai marre de jouer au chat et à la souris. J'ai Faith pour ça. Allons droit au but.,'Cause you know I'm here to take that call,I'm tired of playing cat and mouse. I have Faith for that. Let's cut to the chase.,,,,
On va se faire cuire un œuf !,Let's go make some omelets!,Let's cook an egg!,,,,
"Cette année, elle peut aller se faire cuire un œuf.",This year she can go... Blow a balloon.,"This year, she can go and cook an egg.",,,,
"Pour ce qui est de Mme Marko, dites-lui d'aller se faire cuire un oeuf.","And as for Mrs. Marko, I should tell her to go fry an egg.","As for Mrs. Marko, tell her to go cook an egg.",,,,
"Attendez, soyons... Appelons un chat un chat.","Well now, let's be, let's call a spade a spade.","Wait, let's... Let's call a spade a spade.",,,,
"Je suis prêt à appeler un chat un chat, pour dissuader les générations d'aujourd'hui et de demain.","There I am prepared to call a spade a spade, as a warning to present and future generations.","I am willing to call a spade a spade, to deter the generations of today and tomorrow.",,,,
Appelons un chat un chat.,Let's call a spade a spade.,Let's call a spade a spade.,,,,
"J'arrive comme un cheveu sur la soupe, mais j'ai pensé que je devais venir vous annoncer la nouvelle, personnellement.",It's rather remiss of me to intrude on you like this... but I really felt I should break the news to you personally.,"I'm coming in like a shot in the dark, but I thought I should come and tell you the news, personally.",,,,
"Ça arrive comme un cheveu sur la soupe, c'est tout.","It's just a bolt out of the fucking blue, that's all.","It just happens like a hair on the soup, that's all.",,,,
Vanessa est arrivée comme un cheveu sur la soupe.,Vanessa turned up at an awkward moment.,Vanessa arrived like a hair on the soup.,,,,
J'ai du pain sur la planche.,Lotta irons in the fire.,I have a lot of work to do.,,,,
Tu as du pain sur la planche la.,You got your hands full over there.,You have your work cut out for you here.,,,,
"Ecoute, je sais que tu as du pain sur la planche, mais mes parents ne peuvent pas te supporter et mon cousin est...","Look, I know you have a lot on your plate, but my parents can't stand you, and my cousin is...","Look, I know you have a lot on your plate, but my parents can't stand you and my cousin is...",,,,
"Parfois, j'ai deux mains gauches.",Sometimes I'm just all thumbs.,Sometimes I have two left hands.,,,,
Tu as deux mains gauches !,You got hands like bricks!,You have two left hands!,,,,
Je dois avoir deux mains gauches.,I think I have two left hands.,I must have two left hands.,,,,
Les gens doivent avoir la banane en te voyant.,People have to be happy that you've arrived.,People must have a banana when they see you.,,,,
J'ai la banane quand je suis avec elle.,I can't help but smile when I'm around her.,I have a banana when I am with her.,,,,
Ils vont avoir la banane.,"Yeah, they'll go bananas for that one.",They're going to have a banana.,,,,
- Anita a le cafard. - Pas de problème.,Anita doesn't want to.,- Anita is feeling blue. - No problem.,,,,
"- Toi aussi, tu as le cafard?",- We call it the blues.,- Are you feeling blue too?,,,,
Tu as le cafard ? Je déteste les dimanches ici.,This place gives me the creeps on Sunday.,Are you feeling blue? I hate Sundays here.,,,,
"C'est une fille qui a le cafard. Elle en a marre de la guerre, marre d'être seule, à attendre que son homme revienne.",It's about a very lonely girl who's sick and tired of war and being left alone.,"She's a girl who's down in the dumps. She is tired of the war, tired of being alone, waiting for her man to come back.",,,,
J'ai eu la chair de poule toute la nuit.,So sick.,I had goosebumps all night.,,,,
J'en ai la chair de poule.,"- Gives me the creeps, to be honest. - Yeah.",I have goosebumps.,,,,
"Regarde, j'en ai la chair de poule.","Look, I got freakin' goose bumps.","Look, I have goosebumps.",,,,
"Ah la vache, j'en ai la chair de poule.",Oh my God I got goose bumps.,"Oh boy, I have goosebumps.",,,,
Mitsuko et Joe ont le cœur sur la main.,Mitsuko and Joe are open-handed.,Mitsuko and Joe have their hearts on their sleeve.,,,,
"C'est bon, tu peux avoir le coeur sur la main","It's okay, you can wear your heart on your sleeve","It's okay, you can have your heart on your sleeve",,,,
"Vous savez, les Punjabis ont le coeur sur la main.",You know we Punjabis are really large-hearted.,"You know, Punjabis have a heart on their sleeve.",,,,
"Magnez vous le cul, j'ai la dalle!",Let's fucking go!,"Hurry up, I'm starving!",,,,
J'ai la dalle.,I sure am hungry.,J'ai la dalle.,,,,
"Allez, j'ai la dalle.","Come on, I'm starving.","Allez, j'ai la dalle.",,,,
J'ai la flemme de lire des sous-titres.,"Actually, no. I'm not down for subtitles tonight.",I'm too lazy to read subtitles.,,,,
Ses parents avaient la flemme de l'appeler Bob ?,"What, his parents were too lazy to come up with, like, Bob?",His parents were too lazy to call him Bob?,,,,
J'ai eu la flemme.,"I got lazy, man, you know.",I was lazy.,,,,
Tu as la gueule de bois.,You're hungover.,You're hungover.,,,,
"En tant que demoiselle d'honneur, je dois m'assurer que personne n'ait la gueule de bois.","- WAIT, WAIT, WAIT. AS MAID OF HONOR, IT'S MY RESPONSIBILITY TO MAKE SURE","As a bridesmaid, I have to make sure no one gets a hangover.",,,,
- Bien sûr que j'ai la gueule de bois.,Of course I'm hungover.,- Of course I have a hangover.,,,,
"J'ai la patate, moi !",I'm starting to see why!,I'm really excited!,,,,
Je peux avoir les patates ?,"May I have the potatoes, please?",Can I have the potatoes?,,,,
"- Papa, puis-je avoir les patates ?","- Dad, may I please have the potatoes?","- Dad, can I have the potatoes?",,,,
J'ai la pêche à mort.,Good as hell.,I'm dead set on fishing.,,,,
J'ai la pêche comme c'est pas possible.,My spirit's high as it can be,I'm as excited as can be.,,,,
"T'as la pêche, hein ?",- You're in great shape!,"You've got the spirit, right?",,,,
Tu cherches trop à impressionner. Tu as les yeux plus gros que le ventre.,"You try so hard to impress people, you always bite off more than you can chew.",You're trying too hard to impress. Your eyes are bigger than your stomach.,,,,
"Voila ce qui arrive lorsqu'on a les yeux plus gros que le ventre, Pat.","This is what happens when you get too big for your boots, Pat.","This is what happens when your eyes are bigger than your stomach, Pat.",,,,
J'avais les yeux plus gros que le ventre.,I bit off more than I could chew.,My eyes were bigger than my stomach.,,,,
- Non. On a d'autres chats à fouetter.,We have bigger fish to fry.,- No. We have other things to worry about.,,,,
"Arrête, on a d'autres chats à fouetter.","Shut up, focus on the job.","Stop it, we've got bigger fish to fry.",,,,
On a d'autres chats à fouetter.,We got bigger fish to fry.,We have other things to worry about.,,,,
J'ai un chat dans la gorge.,Yeah.,I have a cat in my throat.,,,,
J'avais un chat dans la gorge.,Just got a frog in my throat.,I had a cat in my throat.,,,,
Il a un chat dans la gorge.,He's just a little hoarse.,He has a cat in his throat.,,,,
"Meg disait à Markayla de ralentir, mais Markayla a eu un coup de foudre.","Meg kept telling Markayla to slow down, but Markayla was head over heels.","Meg was telling Markayla to slow down, but Markayla had a blast.",,,,
Moi aussi. Mais on n'a pas eu de coup de foudre.,"So do I, but we didn't love each other at first either.",So did I. But we didn't fall in love at first sight.,,,,
"Avoir un coup de foudre, c'est sentir le véritable amour.","To experience love at first sight, is to feel true love.",To fall in love at first sight is to feel true love.,,,,
"Je m'appelle Sydney White, mon pére est plombier, je collectionne les BD et j'ai une peur bleue des ballons en forme d'animaux.",My name is Sydney White. My dad's a plumber. I collect comic books and I'm secretly terrified of balloon animals.,"My name is Sydney White, my father is a plumber, I collect comic books and I'm scared to death of balloon animals.",,,,
L'autre moitié a une peur bleue de lui.,The rest... scared to death of that wombat.,The other half is scared to death of him.,,,,
"Vous avez oublié, je suis influent à Klingen et que j'ai une peur bleue des pigeons.","Well, you only left out that... I'm fluent in Klingon and have a bona fide fear of pigeons.","You forgot, I am influential in Klingen and I am scared to death of pigeons.",,,,
Il a un poil dans la main.,That boy is scared of working. He ain't done a lick of work in his life.,He has a hair in his hand.,,,,
Surtout ceux qui ont un poil dans la main. Ils préfèrent rester assis et manger des fruits.,They're just too idle to work.,Especially those with a hair in their hand. They prefer to sit around and eat fruit.,,,,
"Et toi aussi mon petit Mattis tu pourrais aider, mais tu as un poil dans la main.","What about you, little Mattis. You could lend a hand too.","And you too my little Mattis could help, but you have a hair in your hand.",,,,
Battons le fer tant qu'il est chaud.,We have to act quickly and seize this opportunity.,Let's strike while the iron is hot.,,,,
Il faut battre le fer tant qu'il est chaud.,You gotta strike while the iron is hot.,You have to strike while the iron is hot.,,,,
- Battons le fer tant qu'il est chaud!,Strike while the iron is hot!,- Let's strike while the iron is hot!,,,,
- Il pourrait blanchir de l'argent.,He could be laundering money. - So?,- He could be laundering money.,,,,
Bien pratique pour blanchir de l'argent en tant que gros dealer de coke,Which comes in handy to launder all the money he makes as the biggest coke dealer,Very convenient to launder money as a big coke dealer,,,,
"A droite, une holding dont se sert Khasinau pour blanchir de l'argent.","On the right, a holding company that Khasinau uses to launder money.","On the right, a holding company used by Khasinau to launder money.",,,,
"""Putain de salope, arrête de boire comme un trou au déjeuner.",You shouldn't have drank so much water at lunch!,"""Fucking bitch, stop drinking like a hole at lunch.",,,,
Ils boivent comme des trous.,They're drinkin' like fishes.,They drink like holes.,,,,
Il a commencé à boire comme un trou.,Started drinking like a fish.,He started drinking like a fish.,,,,
Millie ne sera pas choquée de voir quelqu'un boire un coup.,Millie won't be shocked to see somebody take a drink.,Millie won't be shocked to see someone having a drink.,,,,
Deux courtiers sont venus boire un coup.,A couple of brokers stopped in for spritzers one night.,Two brokers came for a drink.,,,,
Viens boire un coup ce soir.,Aren't you coming with us?,Come for a drink tonight.,,,,
"Et d'ailleurs, je déteste casser du sucre sur le dos de quelqu'un.","Anyway, I don't like talking about people behind their back.","And by the way, I hate to break anyone's back.",,,,
"Et ça non plus, ce n'est pas tes oignons.","And this isn't any of your business, either.",And that's none of your business either.,,,,
- Ce n'est pas tes oignons.,"- Nothing, don't look at it.",- It's none of your business.,,,,
"Ecoutez, peu importe les sentiments que vous avez eus du vivant de votre ami, ce n'est pas mes oignons.","Sir, whatever you gentlemen felt for each other when your friend was still alive... is certainly none of my affair.","Look, whatever feelings you had while your friend was alive are none of my business.",,,,
C'est la fin des haricots!,This is the end of the beans!,That's the end of the beans!,,,,
Je crois que c'est la fin des haricots pour le mollusque à moteur.,Looks like the party is over for the motoring mollusk.,I think this is the end of the beans for the motorized mollusk.,,,,
