source,references,hypothesis,type
"Salut. Ah la vache, ils sont costauds, ceux-là.","[""Oh my God, who's winning so far?""]","Hi. Oh boy, they are tough, those ones.",idiomatic
Ah la vache !,['Holy cow!'],Oh boy!,idiomatic
"Ah la vache, c'est le saumon.","[""It's the salmon guy!""]","Oh boy, it's the salmon.",idiomatic
"Et maintenant, une jeune femme qui va droit au but, ma sœur, Roberta Tubbs.","['And now, a young lady who goes to third base faster than Rickey Henderson my sister, Roberta Tubbs.']","And now, a young woman who gets right to the point, my sister, Roberta Tubbs.",idiomatic
"Rebecca, je... je vais aller droit au but.","['Becca, there is no easy way to say this...']","Rebecca, I'm... I'm going to get right to the point.",idiomatic
"Mais je suis d'accord avec l'idée de Gina ""D'aller se faire cuire un œuf.""","['But I\'m going with Gina\'s ""suck an egg"" idea.']","But I agree with Gina's idea of ""Going to get an egg cooked.""",idiomatic
Je lui ai dit d'aller se faire cuire un oeuf.,['I told him to go fly a kite.'],I told her to go cook an egg.,idiomatic
Nous appellerons un chat un chat.,"[""We're going to call a spade a dirty spade.""]",We will call a spade a spade.,idiomatic
J'appelle un chat un chat...,['If it walks like a duck...'],I call a spade a spade...,idiomatic
J'ai du pain sur la planche...,"[""I've got a lot on my plate and um...""]",I have a lot of work to do...,idiomatic
Tu as du pain sur la planche.,['You have a job to do.'],You have a lot of work to do.,idiomatic
"Je le ferais bien moi-même, mais j'ai deux mains gauches.","[""I would do it myself, but I am all thumbs. Yeah, I'm sorry about that.""]","I would do it myself, but I have two left hands.",idiomatic
"Sally, tu as deux mains gauches ce soir.","['Oh, Sally, you are fingers and thumbs tonight.']","Sally, you have two left hands tonight.",idiomatic
j'aurai la banane.,"[""I'll go bananas.""]",j'aurai la banane.,idiomatic
La centrifugeuse d'isotopes a la banane.,['The isotope centrifuge went bananas.'],The isotope centrifuge has a banana.,idiomatic
"""J'ai le cafard à cause de toi.","['""I\'ve got the blues for you.']","""I'm feeling blue because of you.",idiomatic
J'avais le cafard et j'ai dit quelque chose dans ma langue.,['I was lonely. I wanted to say something in my own language.'],I was feeling blue and said something in my language.,idiomatic
"Chaque fois que je pense au jour où on s'est rencontré, j'ai la chair de poule.","['Every time I think about the day we met, I just get goosebumps all over again.']","Every time I think about the day we met, I get goosebumps.",idiomatic
"J'ai la chair de poule, Andie.","['- This is really creepy, Andie.']","I have goosebumps, Andie.",idiomatic
Avait le coeur sur la main.,['Wore his heart on his sleeve.'],Had the heart on his hand.,idiomatic
Elle a le coeur sur la main.,"[""She's got a big heart.""]",She has the heart on her hand.,idiomatic
"Super, j'ai la dalle.","[""- Oh, good, 'cause I'm starving.""]","Super, j'ai la dalle.",idiomatic
Je fume pour ça. J'ai la dalle.,"[""That's why I wanna smoke, I'm starving.""]",I smoke for it. I'm starving.,idiomatic
"Par contre, j'ai la dalle.",['I am starving though.'],"However, I have the slab.",idiomatic
Ses parents avaient la flemme de l'appeler Bob ?,"['What, his parents were too lazy to come up with, like, Bob?']",His parents were too lazy to call him Bob?,idiomatic
Je ne sais pas si sortir ou pas. J'ai la flemme...,"[""I don't know if I want to go or if I'm too tired but...""]",I don't know whether to go out or not. I'm lazy...,idiomatic
"Là, j'ai la gueule de bois.","[""Now I'm just hung-over.""]",Now I have a hangover.,idiomatic
J'ai la gueule de bois par ta faute.,['And I am hung over because of you.'],I'm hungover because of you.,idiomatic
"Laisse-moi tranquille, j'ai la gueule de bois.","['Oh, leave me alone, I have a hangover.']","Leave me alone, I'm hungover.",idiomatic
"O.K., vous avez la patate.",['Fine. You guys rock.'],"O.K., you've got the knack.",idiomatic
"- Ouais, j'avais la patate.","[""You should've seen me.""]","- Yeah, I had a lot of energy.",idiomatic
"J'ai la patate, ce matin.","[""I'm on top form today.""]",I'm feeling pretty good this morning.,idiomatic
"Nous, on a la patate !",['We all feel great.'],We have the potato!,idiomatic
"Soudain, t'as la pêche ?","[""Now all of a sudden you're fired up?""]","Suddenly, you're feeling good?",idiomatic
Les Rockets ont la pêche...,"[""These Rockets are movin' today.!""]",The Rockets are on a roll...,idiomatic
"Vous avez les yeux plus gros que le ventre, mon ami.","[""You've bitten off more than you can chew this time, my friend.""]","Your eyes are bigger than your stomach, my friend.",idiomatic
Elle pense qu'on a les yeux plus gros que le ventre.,['She worries our eyes might be a little bigger than our stomachs.'],She thinks we have eyes bigger than our stomachs.,idiomatic
