source,references,hypothesis,type
"Tout d&apos; un coup , les ONG étaient non seulement debout dans les rues , criant leurs slogans , mais ils les emmenaient aux négociations , en partie parce qu&apos; ils représentaient les victimes de ces armes .","['All of a sudden , NGOs were not only standing in the streets , crying their slogans , but they were taking &#91; them &#93; into the negotiations , partly because they represented the victims of these weapons .']","All of a sudden, the NGOs were not only standing in the streets, shouting their slogans, but they were taking them to the negotiations, partly because they represented the victims of these weapons.",random
"Comment pouvons-nous échapper au fait d&apos; avoir un double-standard , si nous prêchons la démocratie et en même temps nous ne voulons pas traiter avec les groupes qui sont représentatifs ?","['How can we escape &#91; having &#93; a double-standard , if we at the same time preach democracy and at the same time don &apos;t want to deal with the groups that are representative ?']","How can we escape having a double standard, if we preach democracy and at the same time we don't want to deal with the groups that are representative?",random
"Mais durant plusieurs années , j&apos; ai étudié le bâtiment de la CCTV de Rem Koolhaas à Pékin et le stade olympique dans la même ville par les architectes Herzog et de Meuron .","['But over the course of several years , I &apos;ve been documenting Rem Koolhaas &apos;s CCTV building in Beijing and the olympic stadium in the same city by the architects Herzog and de Meuron .']","But for several years, I studied the CCTV building by Rem Koolhaas in Beijing and the Olympic stadium in the same city by the architects Herzog and de Meuron.",random
"Et avec chaque habitant qui trouve sa manière propre et unique d&apos; y arriver , cette tour devient comme une ville avec sa propre vie , un endroit qui vit avec sa micro-économie et ses petites entreprises .","['And with each inhabitant finding their own unique way of coming by , this tower becomes like a living city , a place which is alive with micro-economies and small businesses .']","And with each inhabitant finding his or her own unique way to get there, this tower becomes like a city with its own life, a place that lives with its micro-economy and small businesses.",random
"Donc , si nous refusons de dialoguer avec ces nouveaux groupes qui vont dominer dans les infos des années à venir , nous allons accroitre la radicalisation , je crois .","['So if we refuse to talk to these new groups that are going to be dominating the news in years to come , we will further radicalization , I believe .']","So, if we refuse to dialogue with these new groups that will dominate the news in the coming years, we will increase radicalization, I believe.",random
"Nous devons juste persévérer . » Maintenant quatre COM FIAS plus tard , nous entendons un message différent : « One ne peut pas gagner militairement .","['We just have to persevere . &quot; &quot; Now four COM ISAF &apos;s later , we hear a different message : &quot; &quot; This cannot be won militarily .']","We just have to persevere."" Now four ISAF COMs later, we hear a different message: ""One cannot win militarily.",random
"Un autre signe , c&apos; est le constat durant ces années , ces dernières années , du faible nombre de ces conflits domestiques entre États , et de conflits intra-étatiques qui peuvent être résolus militairement .","['Another acknowledgment we &apos;ve seen during these years , recent years , is that very few of these domestic interstate , intrastate conflicts can be solved militarily .']",Another sign is the fact that in recent years there have been few domestic conflicts between states and few intra-state conflicts that can be solved militarily.,random
"Et comment pouvons-nous dire aux Frères Musulmans , comme nous le devrions , qu&apos; ils doivent respecter le droit des minorités , si nous n&apos; acceptons pas les droits de la majorité ?","['And how can we tell the Muslim Brotherhood , as we should , that they must respect minority rights , if we don &apos;t accept majority rights ?']","And how can we tell the Muslim Brotherhood, as we should, that they must respect the rights of minorities, if we do not accept the rights of the majority?",random
"Dans une région reconnue pour le sol mou et poreux du plateau de Lœss , jusqu&apos; à tout récemment , on estime qu&apos; il y avait 40 millions de personnes qui vivaient dans des maisons souterraines .","['In a region famous for the soft , porous Loess Plateau soil , there lived until recently an estimated 40 million people in these houses underground .']","In a region known for the soft, porous soil of the Loess Plateau, until recently, an estimated 40 million people lived in underground homes.",random
"Le Comité international de la Croix-Rouge , le CICR , dialogue avec tout le monde , et il le fait parce qu&apos; il est neutre .","['The International Committee of the Red Cross , the ICRC , is talking to everyone , and it is doing so because it is neutral .']","The International Committee of the Red Cross, ICRC, talks to everyone, and it does so because it is neutral.",random
Nous avons donc passé plus de temps à nous focaliser sur la raison pour ne pas dialoguer avec les autres plutôt que de trouvercomment parler aux autres .,['So we &apos;ve spent more time on focusing on why we should not talk to others than finding out how we talk to others .'],So we spent more time focusing on why not to talk to others rather than how to talk to others.,random
"Alors , il a engagé un processus politique de dialogue , non pas comme une stratégie de faible , mais comme une stratégie de force .","['So he engaged a political process of dialogue , not as a strategy of the weak , but as a strategy of the strong .']","So, he initiated a political process of dialogue, not as a strategy of weakness, but as a strategy of strength.",random
Et il s&apos; est engagé dans des pourparlers détaillés en réglant certaines des questions les plus délicates grâce à un processus de vérité et de réconciliation où les gens sont venus et ont dialogué .,['And he engaged talking profoundly by settling some of the most tricky issues through a truth and reconciliation process where people came and talked .'],"And he engaged in detailed talks, resolving some of the most sensitive issues through a truth and reconciliation process where people came and talked.",random
"Nous les appelons vaguement « groupes » . Ils peuvent représenter des réalités sociales , religieuses , politiques , économiques , ou militaires .","['We loosely call them &quot; &quot; groups . &quot; &quot; They may represent social , religious , political , economic , military realities .']","We loosely call them ""groups"". They may represent social, religious, political, economic, or military realities.",random
"L&apos; Occident , comme je vois les choses , sort de cette décennie affaibli , parce que nous n&apos; avons pas compris le groupe .","['The West , as I would see it , comes out of that decade weakened , because we didn &apos;t understand the group .']","The West, as I see it, is coming out of this decade weakened, because we did not understand the group.",random
"Quand je suis arrivé en Afghanistan en 2005 , en tant que ministre des Affaires étrangères , j&apos; ai rencontré le commandant de la FIAS , les troupes internationales .","['When I first came to Afghanistan in 2005 as a foreign minister , I met the commander of ISAF , the international troops .']","When I arrived in Afghanistan in 2005 as Foreign Minister, I met with the Commander of ISAF, the international troops.",random
Et c&apos; est la raison pour laquelle cette organisation est probablement est l&apos; acteur clé le mieux informé pour comprendre les conflits modernes — parce qu&apos; ils dialoguent .,['And that &apos;s one reason why that organization probably is the best informed key player to understand modern conflict — because they talk .'],And that's why this organization is probably the most knowledgeable key player in understanding modern conflict - because they dialogue.,random
"De plus , au cours de la dernière décennie , nous avons été dans un mode où le traitement avec des groupes était conceptuellement et politiquement dangereux .","['Plus , during the last decade , we &apos;ve been in the mode where dealing with groups was conceptually and politically dangerous .']","Moreover, over the past decade, we have been in a mode where dealing with groups was conceptually and politically dangerous.",random
"Le dialogue n&apos; est pas facile — entre individus , entre les groupes , et entre gouvernements — mais il est vraiment nécessaire .","['Dialogue is not easy — not between individuals , not between groups , not between governments — but it is very necessary .']","Dialogue is not easy - between individuals, between groups, and between governments - but it is very necessary.",random
Je ne peux pas faire cela à moins d&apos; envoyer des signaux que je serai à l ’ écoute des signaux de l&apos; autre partie .,['I cannot do that unless I send the signals that I will be open to listen to the other side &apos;s signals .'],I can't do that unless I send signals that I will listen to the other party's signals.,random
"Nous savons par expérience personnelle que c&apos; est parfois facile de se retirer , et que parfois il faut se battre .","['We know from our personal experiences that it &apos;s easy sometimes just to walk , and sometimes you may need to fight .']","We know from personal experience that sometimes it is easy to withdraw, and sometimes it is necessary to fight.",random
"Et je crois que nous devons renforcer cette approche dans la diplomatie moderne , non seulement entre les Etats , mais aussi au sein des Etats .","['And I believe we need to strengthen this approach in modern diplomacy , not only between states , but also within states .']","And I believe that we need to strengthen this approach in modern diplomacy, not only between states, but also within states.",random
"Ensemble , les habitants ont créé des espaces publics et ils les ont conçus de sorte qu&apos; ils se sentent plus comme chez eux et moins comme dans une tour inachevée .","['Together , the inhabitants created public spaces and designed them to feel more like a home and less like an unfinished tower .']","Together, the residents have created public spaces and designed them to feel more like home and less like an unfinished tower.",random
"Une fois sur l&apos; eau , on voit clairement que la vie s&apos; est complètement adaptée à ces conditions de vie bien spécifiques .","['When out on the water , it &apos;s clear that life has been completely adapted to this very specific way of living .']","Once on the water, it is clear that life is completely adapted to these specific living conditions.",random
"Comme à Makoko ou dans la Torre David , partout chez les Zabbalîn on trouve tous les mêmes services que dans n&apos; importe quel quartier .","['Like Makoko and the Torre David , throughout the Zabbaleen you &apos;ll find all the same facilities as in any typical neighborhood .']","As in Makoko or in Torre David, everywhere in the Zabbalin you can find the same services as in any other neighborhood.",random
"Le succès de Coca est pertinent parce que si nous pouvons l&apos; analyser , en tirer des leçons , alors nous pouvons sauver des vies .","['Coke &apos;s success is relevant , because if we can analyze it , learn from it , then we can save lives .']","Coke's success is relevant because if we can analyze it, learn from it, then we can save lives.",random
"La plupart des gouvernements ont suivi le diktat des dirigeants autoritaires qui était de rester loin de ces différents groupes , parce qu&apos; ils étaient des terroristes .","['Most governments followed the dictate of the authoritarian leaders to stay away from these different groups , because they were terrorists .']","Most governments followed the dictate of the authoritarian rulers to stay away from these different groups, because they were terrorists.",random
"Et quand la tension a augmenté , ils avaient déjà eu ce dialogue , et c&apos; était une force pour traiter différents problèmes .","['And when tension increased , they already had that dialogue , and that was a strength to deal with different issues .']","And when the tension increased, they had already had this dialogue, and it was a strength to deal with different issues.",random
"Lentement , à partir de matériaux trouvés , les murs s&apos; élèvent , et les gens créent un espace avec n&apos; importe quels objets ou matériaux trouvés .","['Slowly , from found materials , walls rise , and people create a space out of any found objects or materials .']","Slowly, from found materials, the walls rise, and people create a space with any found objects or materials.",random
"Même les canots deviennent des boutiques où des dames rament d&apos; une maison à l&apos; autre , en vendant de tout , du dentifrice aux fruits frais .","['Even the canoes become variety stores where ladies paddle from house to house , selling anything from toothpaste to fresh fruits .']","Even the canoes become stores where ladies row from one house to another, selling everything from toothpaste to fresh fruit.",random
Ils flottaient sur les canaux dans un canot large avec générateur pour que toute la communauté en profite .,['They were floating through the canals in a large canoe with a fitted-out generator for all of the community to enjoy .'],They floated on the canals in a large canoe with generator for the whole community to enjoy.,random
"Mais la situation évolue , et nous constatons qu&apos; il y a de nouveaux acteurs clés qui arrivent sur la scène .","['But the picture is changing , and we are seeing that there are new key players coming onto the scene .']","But the situation is changing, and we are seeing new key players coming onto the scene.",random
Et le paradoxe est que la décennie précédente était si prometteuse — et principalement pour une raison .,['And the paradox is that the decade before the last decade was so promising — and for one reason primarily .'],And the paradox is that the previous decade was so promising - and mainly for one reason.,random
"Il est crucial de comprendre , je crois , à cause de la technologie et à cause de la mondialisation , les sociétés ascendantes .","['It &apos;s crucial to understand , I believe , because of technology and because of globalization , societies from bottom-up .']","It is crucial to understand, I believe, because of technology and because of globalization, the ascendant societies.",random
Mais le problème est que nous sortons d&apos; une décennie où nous avons eu peur de la toucher .,['But the problem is that we are coming out of a decade where we had a fear of touching it .'],But the problem is that we are coming out of a decade where we were afraid to touch it.,random
Elles ont été conçues de manières très spécifiques par ce groupe de personnes qui n&apos; ont jamais fait d&apos; études en architecture ni en design .,['Designed in very specific ways by this group of people who haven &apos;t had any education in architecture or design .'],They were designed in very specific ways by this group of people who have never studied architecture or design.,random
"Dans cette tradition , la future mariée étale toutes ses possessions , qu&apos; ils apporteront bientôt à son nouveau mari .","['In this tradition , the bride-to-be displays all of their belongings , which they soon bring to their new husband .']","In this tradition, the bride-to-be spreads out all her possessions, which they will soon bring to her new husband.",random
"Bien que leur accès à l&apos; espace et à l&apos; argent soit limité , les maisons de cette zone sont conçues avec soin et souci du détail .","['Despite having limited access to space and money , the homes in the area are designed with care and detail .']","Although their access to space and money is limited, the homes in this area are designed with care and attention to detail.",random
"Les règles d&apos; engagement : comment dialoguer , quand dialoguer , et comment traiter avec eux .","['The rules of engagement : how to talk , when to talk , and how to deal with them .']","Rules of engagement: how to dialogue, when to dialogue, and how to deal with them.",random
"Il peut y avoir une nécessité de les traiter avec des moyens militaires , mais ils ne peuvent pas être résolus par des moyens militaires .","['They may have to be dealt with with military means , but they cannot be solved by military means .']","There may be a need to deal with them with military means, but they cannot be solved by military means.",random
Ils ont besoin d&apos; un processus inclusif où le réel tissu de cette société très compliquée pourra faire face à leurs problèmes .,['They need an inclusive process where the real fabric of this very complicated society can deal with their issues .'],They need an inclusive process where the real fabric of this very complicated society can deal with their problems.,random
"C&apos; est leur droit de se battre . » Maintenant , comme vous le savez , Mandela n&apos; a pas fait cela .","['It &apos;s their right to fight . &quot; &quot; Now as you know , Mandela didn &apos;t do that .']","It is their right to fight. Now, as you know, Mandela did not do this.",random
"Et nous devons aller au-delà de la diplomatie traditionnelle vers la question de la survie de notre temps , le changement climatique .","['And we have to go also beyond traditional diplomacy to the survival issue of our times , climate change .']","And we must go beyond traditional diplomacy to the survival issue of our time, climate change.",random
"Qu&apos; est-ce qui fait que les gens se font mutuellement confiance , non seulement entre les Etats , mais aussi au sein des Etats ?","['What is it that makes people trust each other , not only between states , but also within states ?']","What makes people trust each other, not only between states, but also within states?",random
"Mais quand on regarde attentivement , on voit d&apos; énormes trous à travers lesquels les ascenseurs et les services auraient fonctionné .","['But when you look up closely , you see massive holes where elevators and services would have run through .']","But when you look closely, you see huge holes through which the elevators and services would have worked.",random
Durant cette soirée j&apos; ai croisé ce groupe de musique sur leur 31 dans leurs habits coordonnés .,"['On this particular evening , I came across this live band dressed to the T in their coordinating outfits .']",During this evening I met this group of musicians on their 31 in their coordinated clothes.,random
"Nous qui sommes des diplomates , sommes formés pour gérer les conflits entre les Etats et les questions entre les Etats .","['We who are diplomats , we are trained to deal with conflicts between states and issues between states .']",We who are diplomats are trained to deal with conflicts between states and issues between states.,random
Et l&apos; autre avec qui vous allez entrer en contact est celui avec qui vous êtes en profond désaccord .,['And the other side which you &apos;re going to engage is the one with whom you profoundly disagree .'],And the other one you will come in contact with is the one you strongly disagree with.,random
"Si nous dialoguons avec eux , il y a le risque de les légitimer . » Je pense que c&apos; est une erreur .","['If we talk to them , we may legitimize them . &quot; &quot; I think that is wrong .']","If we dialogue with them, there is a risk of legitimizing them. I think this is a mistake.",random
"Si vous dialoguez comme il faut , vous dites clairement que dialoguer ce n&apos; est pas être d&apos; accord .","['If you talk in the right way , you make it very clear that talking is not agreeing .']","If you dialogue properly, you make it clear that dialogue is not agreement.",random
Le paradoxe ici c&apos; est que la dernière décennie a probablement été une décennie perdue pour les progrès sur ce point .,['The paradox here is that the last decade probably was a lost decade for making progress on this .'],The paradox here is that the last decade has probably been a lost decade for progress on this point.,random
"Et alors que nous essayons de comprendre ce vaste mouvement qui traverse le monde Arabe , nous ne sommes pas impuissants .","['And as we try to understand this broad movement across the Arab world , we are not powerless .']","And as we try to understand this vast movement that is sweeping through the Arab world, we are not powerless.",random
"La nuit tombée , la région devient d&apos; un noir d&apos; encre , à l&apos; exception d&apos; une petite ampoule ou d&apos; un feu .","['By nightfall , the area becomes almost pitch black , save for a small lightbulb or a fire .']","When night falls, the area becomes inky black, except for a small light bulb or fire.",random
"Chaque appartement est unique , et cette individualité raconte l&apos; histoire des circonstances et des valeurs de chaque famille .","['Every apartment is unique , and this individuality tells a story about each family &apos;s circumstances and values .']","Each apartment is unique, and this individuality tells the story of the circumstances and values of each family.",random
Permettez-moi de vous montrer une diapositive qui illustre ici le caractère des conflits depuis 1946 jusqu&apos; à nos jours .,['Let me show you a slide here which illustrates the character of conflicts since 1946 until today .'],Let me show you a slide that illustrates the character of the conflicts from 1946 to the present.,random
"Vous voyez en vert c&apos; est un conflit interétatique traditionnel , ceux que nous avions coutume de lire dans la presse .","['You see the green is a traditional interstate conflict , the ones we used to read about .']","You see in green is a traditional interstate conflict, those we used to read in the press.",random
Je crois que l&apos; intervention en Libye était nécessaire et que l&apos; intervention militaire en Afghanistan était également nécessaire .,['I happen to believe that Libya was necessary and that military intervention in Afghanistan was also necessary .'],I believe that the intervention in Libya was necessary and that the military intervention in Afghanistan was also necessary.,random
Le slogan de la campagne internationale de Coca c&apos; est &quot; &quot; Ouvrez le bonheur &quot; &quot; . Mais ils le localisent .,['Coke &apos;s global campaign slogan is &quot; &quot; Open Happiness . &quot; &quot; But they localize it .'],"The slogan of Coca-Cola's international campaign is ""Open up happiness"". But they locate it .",random
"Mais il y a une chose à laquelle je ne crois pas que beaucoup de gens pensent , c&apos; est le contexte dans lequel une technologie intervient .",['What I don &apos;t think most people think about is the context of how technology is applied .'],But one thing I don't think many people think about is the context in which a technology comes into play.,random
"Ou au ski . C&apos; est juste marrant , et les gens adorent se déplacer en faisant des trucs marrants .","['Or skiing . It &apos;s just fun , and people love to move around doing fun things .']","Or skiing. It's just fun, and people love to get around doing fun things.",random
"car techniquement j&apos; ai des moteurs , j&apos; ai des roues — je suis dans un véhicule à moteur .",['Because technically I &apos;ve got motors ; I &apos;ve got wheels — I &apos;m a motor vehicle .'],"because technically I have engines, I have wheels - I am in a motor vehicle.",random
"J&apos; ai pris ça jusqu&apos; à Ground Zero , et je me suis frayé un chemin à travers la foule pendant une heure .","['I took this down to Ground Zero , and knocked my way through crowds for an hour .']","I took this all the way to Ground Zero, and made my way through the crowd for an hour.",random
"&quot; &quot; J&apos; ai 81 ans , et je ne conduis plus de voiture ,","['&quot; &quot; And I &apos;m 81 years old , and I don &apos;t drive a car anymore .']","I am 81 years old, and I don't drive a car anymore,",random
"Et , en fait , ceci est une chose que doit aussi faire une société démocratique .","['And this is , by the way , something that a democratic society also has to do .']","And, in fact, this is something that a democratic society must also do.",random
"( rires ) Mais en fait , ce n&apos; est pas ma faute ; c&apos; est tiré du journal The Guardian .","['( Laughter ) But actually , it &apos;s not my fault ; it &apos;s from the Guardian newspaper .']","( laughs ) But actually, it's not my fault; it's from The Guardian newspaper.",random
"Dans ma nouvelle entreprise , Marilyn Monrobot , j&apos; aimerais utiliser l&apos; art pour créer de la technologie .","['With my new venture , Marilyn Monrobot , I would like to use art to create tech .']","In my new company, Marilyn Monrobot, I would like to use art to create technology.",random
Nous avons rendu le robot — dans sa tête se trouve une base de données avec plein de blagues .,['We &apos;ve got the robot — in his head is a database of a lot of jokes .'],We returned the robot - in its head is a database with lots of jokes.,random
Qu&apos; est-ce que je peux faire ? » L&apos; opérateur répond : « Du calme .,"['What can I do ? &quot; &quot; The operator says , &quot; &quot; Just take it easy .']","What can I do?"" The operator replies, ""Relax.",random
"La voix du type se fait de nouveau entendre : « D&apos; accord , et maintenant ? »","['The guy &apos;s voice comes back on the line , &quot; Okay , now what ? &quot;']","The guy's voice comes out again: ""Okay, now what?""",random
"Nous suivons la pollution au sommet du réseau alimentaire , chez les mammifères marins et les poissons .","['We &apos;re tracking pollution at the top of the food web , in marine mammals and fish .']","We track pollution at the top of the food web, in marine mammals and fish.",random
Et on pouvait tout simplement voir un filet de mort comme on descendait dans la colonne d&apos; eau .,['And you could just see the web of death as you go down in the water column .'],And you could simply see a trickle of death as you descended into the water column.,random
"Et puis il y a le problème , menaçant , épineux de la santé humaine , des effets sur la santé humaine qui ont été signalés .","['And then there &apos;s the looming , messy problem of human health , reported human health effects .']","And then there is the threatening, thorny issue of human health effects that have been reported.",random
Et nous réalisons en Occident que nous savons très peu sur ce qui se passe .,['And we find out in the West that we know very little about what &apos;s happening .'],And we realize in the West that we know very little about what is going on.,random
"À l&apos; heure actuelle , les discussions vont bon train , « Faut-il dialoguer avec les Frères Musulmans ?","['Right now , the discussion goes , &quot; &quot; Should we talk to the Muslim Brotherhood ?']","At the moment, the discussions are going well, ""Should we dialogue with the Muslim Brotherhood?",random
Nous faisons une distinction entre dialoguer à un niveau diplomatique et dialoguer à un niveau politique .,['We make a distinction between talking from a diplomatic level and talking at the political level .'],We make a distinction between dialogue at a diplomatic level and dialogue at a political level.,random
La boîte à outils diplomatiques est en fait pleine d&apos; outils différents que nous pouvons utiliser pour renforcer notre communication .,['The diplomatic toolbox is actually full of different tools we can use to strengthen our communication .'],The diplomatic toolbox is actually full of different tools that we can use to strengthen our communication.,random
"Nous avons besoin d&apos; améliorer les compétences nécessaires , et nous devons avoir le courage de les utiliser .","['We need to improve the necessary skills , and we need the courage to use them .']","We need to improve the necessary skills, and we must have the courage to use them.",random
"Donc en bref , je suis choquée par toutes les choses qu&apos; ils n&apos; ont pas .","['So in short , I &apos;m startled by all the things that they don &apos;t have .']","So in short, I am shocked by all the things they don't have.",random
"Si ils peuvent faire ça , pourquoi est-ce que les gouvernements et les ONG ne peuvent pas faire la même chose ?","['If they can do that , why can &apos;t governments and NGOs do the same thing ?']","If they can do that, why can't governments and NGOs do the same?",random
"Une fois , quelqu&apos; un d&apos; une ONG m&apos; a décrit ça comme de jouer au bowling dans le noir .",['I had somebody from an NGO once describe it to me as bowling in the dark .'],Someone from an NGO once described it to me as bowling in the dark.,random
"Ils disaient , &quot; &quot; Vous lancer la boule , vous entendez quelques quilles tomber .","['They said , &quot; &quot; You roll the ball , you hear some pins go down .']","They used to say, ""You throw the ball, you hear some pins fall.",random
"Et en Afrique , dans les endroits isolés , c&apos; est dur de trouver de bonnes routes .","['And in Africa , the remote places , it &apos;s hard to find a good road .']","And in Africa, in remote areas, it is hard to find good roads.",random
"Et en 2003 , le gouvernement éthiopien a lancé ce nouveau système dans son propre pays .","['And in 2003 , the government of Ethiopia started this new system in their own country .']","And in 2003, the Ethiopian government launched this new system in its own country.",random
"Mais ensuite vous prenez les toilettes et vous les présentez comme une chose pratique , moderne et à la mode .","['But then you take the toilet and you position it as a modern , trendy convenience .']","But then you take the toilet and present it as something practical, modern and fashionable.",random
Et ce ne serait que la deuxième maladie à être eliminée de la surface de la terre .,['And it would only be the second disease ever wiped off the face of the planet .'],And this would be only the second disease to be eliminated from the face of the earth.,random
"Il y a 500 ans , naviguer sur des voiliers commençait à être suffisamment fiable ; on a trouvé un nouveau continent .","['500 years ago , sailing ships started getting reliable enough ; we found a new continent .']","500 years ago, sailing ships were becoming reliable enough; a new continent was found.",random
Je les aime tous . Je n&apos; en garde aucun dans mon salon .,['I love them all . I don &apos;t keep any of them in my living room .'],I love them all. I don't keep any of them in my living room.,random
"En fonction ceux à qui vous faites confiance pour vos chiffres , cela fait entre 60 et 85000 personnes par jour .","['Depending on whose numbers you believe , it &apos;s between 60 and 85,000 people per day .']","Depending on who you trust with your figures, that's between 60 and 85,000 people a day.",random
