source,references,hypothesis,type
では いい子になるのよ,"['Now remember, Pinocchio, be a good boy.']",Then be a good girl.,literal
お呼びじゃないでしょ,"[""And he didn't invite me.""]",You don't want me here.,literal
彼 お呼びじゃないわ,"[""He hasn't called.""]",He's not wanted.,literal
騎兵隊はお呼びでないか？ そうだ,"[""No cavalry comin'?""]","Cavalry not wanted? Yes, I am.",literal
それはそれは,"[""That's... That's awkward.""]","My goodness (expresses surprise, wonder, etc.)",literal
それは それは良かった - クソ,"[""That's-- that's good, right?""]",It was that good.,literal
それはそれは常にされています方法です。,"[""That's the way it's always been.""]",That is the way it has always been.,literal
エンジンが 掛からない,"[""It won't start.""]",The engine won't start.,literal
俺の頭に メスを入れようとするんだ,"[""They're going to cut into my brain.""]",He's trying to put a scalpel in my head.,literal
地雷の上に立ってる。,"[""He's standing on a mine.""]",I'm standing on a land mine.,literal
光の輝く柱の上に立つ,"[""He'd be standing atop a shining pillar of light.""]",Standing on a shining pillar of light,literal
私は、見たのよ。 アストラを。 ナイフを持って、 ジョンの上に立ってた。,"[""- I saw Astra standing over J'onn.""]",I saw it. Astra. She was standing over John with a knife.,literal
この世に出てくるため自分の母親を殺したお前が？,"['You, who killed your mother to come into the world?']",You who killed your own mother to come into this world?,literal
本当にお世話になりました,"[""You've taken real good care of me.""]",Thank you so much for all your help.,literal
彼の世話になった,"['- Sonny -- he, uh -- you know, he looked after me.']",He took care of me.,literal
（なな恵） 同じ寮で と っ ても お世話になった綾さんだった,['It was Aya from the same dorm. Who really took care of me.'],（Aya was the one who took care of me the most in the same dormitory.,literal
お前が育つにつれ　世話を焼いた,"['And as you grew up I cared for you still, made you a nice bed for your slumbers.']",I took care of you as you were growing up.,literal
お前が育つにつれ　世話を焼いた,"['And as you grew up I cared for you still, made you a nice bed for your slumbers.']",I took care of you as you were growing up.,literal
誰かが親切に世話を焼いたんだね。 だれかが　しんせつに　せわをやいたんだね Someone must've helped you,"[""Someone must've helped you""]",Someone must've helped you Someone must've helped you,literal
あの晩 雨の中に立って,['I was standing there that night in the rain.'],Standing in the rain that night,literal
ああ、だが君も見ただろ 中性子ビームの中に立っていた,"['Well, you saw it yourself, standing in those neutron beams.']","Yeah, but you saw it too. You were standing in a neutron beam.",literal
ど真ん中に立ってた,['I was standing right in the middle of it.'],I was standing right in the middle of it.,literal
ある時点から　地球は丸くなったということだ,"['At one point, so was the Earth being round.']","At some point, the earth became round.",literal
アイツがマイクロボットを盗んで 火事を起こしたんだ,"['He stole my microbots, he started the fire.']",He stole my microbots and started a fire.,literal
火事を起こしちゃいない,"[""You didn't start the fires.""]",I didn't start the fire.,literal
賛同する仲間は 数百いる ここで事を 起こす事だって,"['We can mobilize hundreds more behind you, it could get pretty messy in here, Mr. Randol.']",There are hundreds of people who agree with me that we could make something happen here.,literal
それが　癌みたいに主人を 食い荒らしていったの,['It ate him up like a cancer.'],It ate away at my husband like a cancer.,literal
人を食うことが 気色悪いのは分かる,"[""I know it's pretty damn weird to eat people.""]",I know it's kind of creepy to eat people.,literal
人を食う木箱の怪物,['Things coming out of crates and eating people?'],Monster in a wooden box that eats people,literal
仮面を被っていた,['Said they were masked.'],He wore a mask.,literal
男は仮面を被っていた,['Men wore masks.'],The man wore a mask.,literal
彼女との仲を裂き,"[""You just want to scare me so I'll split!""]",I broke it off with her.,literal
こんどはその借りを 返してもらうこととしますか,['It holds fair now you return the favour.'],I'm going to ask you to return the favor this time.,literal
ラニスターは必ず借りを返す,['The Lannisters pay their debts.'],Lannisters always pay their debts.,literal
信じてないよね？ 借りを返すべき 存在なんて,"[""You don't really think there's someone out there holding my I.O.U.""]","You don't believe that, do you? That there is a debt to be repaid?",literal
もう少し先が見える,['Just a little further.'],I can see a little further.,literal
行き先が見えてるから,"[""Cause I know where I'd be going.""]",I know where I'm going.,literal
先が見えた,['I see daylight.'],I see what's ahead.,literal
先を読んで,['Read on.'],Look Ahead.,literal
※冷たくならないって素敵よね。,"['It must be nice, never getting cold.']",*It's nice that they don't get cold.,literal
天候が変わって冷たくなった,['The weather has turned cold'],The weather changed and it got cold.,literal
何か食べてください 食べ物は冷たくなっています,['Have something to eat. The food is getting cold.'],Please eat something. Food is cold.,literal
割に合わない投資は嫌いだ,['I hate bad investments.'],I hate investments that don't pay for themselves.,literal
割に合うなら良いけど・・ 進んで,['I hope it turns out to be worth the expense.'],"I hope it's worth it, but... Go ahead.",literal
今すぐ電力を付けなきゃ,"[""We've got to get the power back on now.""]",We need to turn on the power now.,literal
[電力を落とす],['[electricity powering down]'],[power down],literal
我々が電力を落としたんです,['We cut your power.'],We brought down the power.,literal
身動きが取れなかった,['And I was tangled in...'],I was stuck.,literal
今、2台の車に囲まれて 身動きが取れない,"[""We're about ready to be boxed in by two cars.""]",Now I'm stuck between two cars.,literal
身動きが取れない,"[""They've got us pinned in.""]",unable to move,literal
他の飛行機とは勝手が違うから。,"[""This isn't like other planes.""]",It's different from other airplanes.,literal
外とは勝手が違うが 心配するな,"[""Don't be alarmed. You will notice that things work differently here.""]","It's different out there, but don't worry.",literal
英国とは勝手が違うでしょ？,"[""Yes, well, I'm sure things are very different in England.""]","It's different from the UK, isn't it?",literal
