sent,reference,translation
Tuoko oli luonteva aasinsilta?,And that was actually your segue?,That's a natural sedation?
"Siinäpä aasinsilta muistoihin, eikö?","Now, there's a trip down memory lane.","Well, that's a clue to memories, isn't it?"
Mikä onkin loistava aasinsilta seuraavaan asiaani.,Which brings me to our next order of business.,Which is a great start to my next point.
Hieno aasinsilta itsemurhaan.,"Nice speech, Mr. Hobson. Way to hit the suicide theme.",That's a great alphabet for suicide.
Täällä ei ole muuta nerokasta kuin tuo keksimäni aasinsilta.,"And if anyone's a genius, it's me for the way I brought that full circle.",There's nothing genius about this place except that segue I invented.
Yritäpä vielä asettua poikkiteloin.,"Just do me a favor, man...",Why don't you try to stop it again?
"Jos asettuisin poikkiteloin, Penelope tekisi elämästäni helvettiä.","If I even dreamed of defecting, Penelope would make my life hell.","If I tried to stop it, Penelope would make my life a living hell."
Enää en asetu poikkiteloin.,"William, I'm not going to get in your way no more.",I won't get in the way again.
"Jos aiotte asettua poikkiteloin, tiedätte missä ovi on.","If either of you has a problem with it, you know where the door is.","If you're going to stop them, you know where the door is."
"En tiedä mitään. ― Tämä paikka suljetaan, jos asetutte poikkiteloin.","I swear, I don't know anything. You are very close to being closed down. Please don't obstruct us.","I don't know anything. If you get in the way, this place will be shut down."
Haluan olla täysin perse auki neljässä sekunnissa.,I want to be completely broke in the next four secds.,I want to be completely broke in four seconds.
On tavattava Jack.Avioliitto rakoilee ja olemme aivan auki.,"- I have to see Jack. Okay. My marriage is in trouble, We're going broke, and I..","I need to see Jack. Our marriage is falling apart, and we're broke."
Olen persauki.,"Okay, I'm broke, man.",I'm broke.
Otat riskin Lafayette-aukiolla.,I watch the news. You're going for broke in Lafayette square.,You're taking a risk in Lafayette Square.
"Jos tunnet olevasi hukassa, - jos haluat puhua, oveni on auki.","I only want you to know that if you feel like you're under water, if you need to talk, my door is open.","If you feel lost, if you want to talk, my door is open."
Miten persaukisella olisi varaa 1 500 dollarin aseeseen?,How's a guy that's so broke afford a $1500 handgun?,"How does a broke-ass man afford a $1,500 gun?"
"Et halua mennä kotiin persaukisena, kun John lyö tämän lyönnin.",You don't want to go home broke once John makes this shot.,You don't want to go home broke when John hits this shot.
Meidät putsattiin persaukiseksi.,They cleaned us out.,They cleaned us out. We're broke.
Mitä persaukinen Randy Newman ajattelee asiasta?,What's broke-ass Randy Newman's take on it?,How does broke Randy Newman feel about that?
"Ehkä se oli väärin, mutta olin persaukinen.","Maybe that was wrong, but I was broke, and that's what I did.","Maybe it was wrong, but I was broke."
Mainitse yksikin toinen kummallisuus. Jäit kiinni rysän päältä varastaessasi kolikoita Loganin aukion lähteestä.,I caught you stealing a bunch of coins out of the fountain at Logan Circle.,Name one other peculiarity... you were caught stealing coins from a fountain in Logan Square.
"Jos haluatte pysyä auki, osallistut päiväseminaariin jossa esitellään käsienpesun 32 vaihetta.","If you wish to remain open, you will attend a one day seminar exploring the 32 steps of proper hand sanitation.","If you want to stay broke, you'll be attending a day-to-day seminar to demonstrate the 32 stages of handwashing."
Äläkä yhtään ala aukoa päätäsi.,"Yes, we do have to and don't be so cheeky! Do you hear me, Davey?",And don't you start mouthing off.
Mitä sä tuut tänne aukoon päätäs?,Who the fuck do you think you are coming in here mouthing off at my mates?,Why do you come here?
Kehtaatko aukoa päätäsi minulle?,"Look at this guy, talking back to me.",You dare mouth off to me?
Pitikin aukoa päätä.,It's all for talking shit to him. - I'll see you later.,I had to bust my balls.
"Ette saa aukoa päätänne minulle vain siksi, että olette vanhoja.",You don't get a bitch pass just 'cause you're old.,You can't mouth off to me just because you're old.
Ei hätä ole tämän näköinen.,-Yeah. Don't worry about it.,"Oh, there's nothing to worry about."
"Odota, ei hätä ole tämän näköinen.",Just hang tight. It's not that bad.,"Wait, that's not what an emergency looks like."
"Ei hätä ole tämän näköinen, mutta käytämme tiettyä tyyliä.","It looks worse than it is, it's just that we have a particular house style.","Well, it doesn't look like this, but we use a certain style."
No DNA:ssa ei kauan nokka tuhise.,The DNA testing is a piece of cake.,"Well, the DNA won't last long."
Et näe metsää puilta.,"You get myopic, can't see the forest for the trees.",You can't see the forest for the trees.
"Jotkut eivät näe metsää puilta. Vai mitä, Vincent?","I guess some people just see what they wanna see, right, Vincent?","Some people can't see the forest for the trees, can they, Vincent?"
Et näe metsää puilta... Kun kyseessä on perheesi.,"You can't see the forest through the trees, man -- not when it comes to family.",You can't see the forest for the trees... when it comes to your family.
"Joskus ei näe metsää puilta, vaikka metsä olisi takapihalla.",You can't see the forest for the trees... even when the forest is in your own backyard.,"Sometimes you can't see the forest for the trees, even if it's in the backyard."
En nähnyt metsää puilta.,I...couldn't see the wood for the trees.,I couldn't see the forest for the trees.
Täs ei olla jäniksen selässä. Deadlinet ei tuu vastaan aikoihin.,"I'm not in a rush, my deadline is far away.",We're not on a rabbit's back.
"Sillä, joka hommasi sinut ilmiantajaksi, ei ollut kaikki intiaanit kanootissa.",Listen. Whoever targeted you as an informant was asleep at the wheel.,Whoever got you an informant wasn't the one with all the Indians in the canoe.
Hänellä ei ole kaikki muumit laaksossa.,She's not in her right mind.,He doesn't have all the mummies in the valley.
Minulla ei ole kaikki muumit laaksossa.,You might've noticed I'm a few raisins short of a full scoop.,I don't have all the mummies in the valley.
Minä en ole eilisen teeren poika. Mistä saitte aseen?,"You may have been born yesterday, but I wasn't.Where did you get the gun?",I wasn't born yesterday.
En ole mikään eilisen teeren poika.,"I was born, but I wasn't born yesterday, son.",I wasn't born yesterday.
Olenko muka eilisen teeren poika?,"What am I, born yesterday?",You think I was born yesterday?
- Hän ei ole eilisen teeren poika.,- He's no milksop. I said I'd take care of it.,- He wasn't born yesterday.
Näytänkö eilisen teeren pojalta?,What? Do I look like I was born yesterday?,Do I look like I was born yesterday?
Täällähän eletään kuin pellossa.,Nasty motherfuckers. Got no goddamned home-training.,It's like living in a field out here.
Eihän kukaan pystyisi valvomaan rahankäyttöänne. Voisitte elää kuin pellossa ilman kontrollia.,"You'd be like a pig in a barley field, with no control.","No one could control how you spend your money, you could live in a field with no control."
Eukko elää kuin pellossa.,Whoa. Homegirl clearly never met a trashcan.,She's living in a field.
Heitän vain yhden voimisteluliikkeen...,I'll just do one of my gymnastics moves to...,I'm just gonna throw one of those gymnastics moves...
Heitämme pikkuisen herjaa.,Come on.,We're just having a little fun.
Minä heitän sinut.,I'll take you.,I'll give you a ride.
Kuka tahansa normaali mies olisi heittänyt veivinsä - mutta ei vain meidän Mick.,"I mean, any normal man would have just turned up his toes and died. But not our Mick.","Any normal man would've died, but not just our Mick."
"En tahdo odottaa, kunnes joku heittää veivinsä.",I don't wanna wait till some guy croaks.,I don't wanna wait for someone to drop dead.
Pari päivää sitten hän kolaroi moottoritiellä ja heitti veivinsä.,"Couple days ago, he crashed into a semi on the freeway and died.","A few days ago, he crashed on the freeway and dropped dead."
"Kun vanha ystäväni Popov heitti veivinsä, panin salkun hyllylle.","When my old friend Popov died, I put my briefcase on the shelf for good.","When my old friend Popov croaked, I put the briefcase on the shelf."
Mummo heitti veivinsä.,My grandma croaked.,Grandma croaked.
- Heittää lusikka nurkkaan.,- Bit the dust.,Throw the spoon in the corner.
"Sinun olisi pitänyt ottaa minut mukaan tähän isoon päätökseesi - tavasta, jolla isämme heittää lusikan nurkkaan.",You should have included me in this huge decision you made about how our father's gonna leave this Earth.,You should have let me in on this big decision of yours about the way our father throws the spoon in the corner.
Mbungon elättäjä heitti lusikan nurkkaan. Olemme rikkaita!,"Mbungo's sugar daddy just took a dirt nap, and we're rich!",We're rich!
Koska saatan pian heittää lusikan nurkkaan...,"Seeing as I may be rapping on the door momentarily,",Since I might be throwing the spoon in the corner...
Muut onki sitte heittäny lusikan nurkkaan.,All the others have kicked the bucket.,The others have thrown the spoon in the corner.
Nuori mies heittää tikkaa baarissa jumalan selän takana.,"- Young guy, playing darts in a bar in the middle of nowhere. Yeah... yeah, that's him, that's Neal.",A young man is throwing darts in a bar in the middle of nowhere.
- Että heität tulevaisuutesi kankkulan kaivoon.,I'm afraid you're gonna throw away your whole future.,That you're throwing your future down the drain.
Joko heität työsi ja perheesi kankkulan kaivoon - tai otat taas elämäsi hallintaan.,"Either throw away everything you've worked for, including your family, or take back control of your life.","Either you throw your job and your family in the ground, or you take control of your life again."
Haluatko heittää Kankkulan kaivoon ne rahat?,You want to see that money go out the front door?,Do you want to throw that money away?
"Hän soitti suurlähetystöön, joka heitti pallon meille.","She contacted the embassy in Kabul, and the deputy chief of mission kicked her over to us.",He called the embassy. They threw us the ball.
Hevonen karkaa.,Your zipper is open.,The horse is getting away.
Ja että hevosesi karkaavat?,And that the barn door on your ski suit is open?,And your horses are running away?
- Hevoset karkaa!,"- Your flies, Charlie! - Mm?",- The horses are getting away!
Hevosesi karkaavat.,Oops.,Your horses are getting away.
- Hevoset karkaavat.,Your pajama thing is a little bit open.,The horses are getting away.
"Onneissaan Ykän lähdöstä, Beatrice hymyilee kuin hangon keksi.","Thrilled that George was leaving, Beatrice beamed like a Cheshire cat,","Excited about George's departure, Beatrice smiles like a cookie."
"Cordy hyppii seinille, kun saa kuulla tästä.","I mean, Cordy is gonna lose it when she finds out...",Cordy's gonna be bouncing off the walls when she finds out.
"Kuulostaa siltä, että kiinnostaa, koska tuskin muuten hyppisit seinille.","It kind of sounds like you care, Tibby. Otherwise you wouldn't be here freaking out.","Sounds like you're interested, or you wouldn't be bouncing off the walls."
Haluatko saada hänet hyppimään seinille?,What do you say? Should we drive him crazy?,You wanna make him jump on the walls?
"Jos Gaby saa selville, hän hyppii seinille.","You know, if Gaby finds out, she's gonna hit the ceiling.","If Gaby finds out, she'll be bouncing off the walls."
Hän hyppii seinille.,She's bouncing off of the walls. Please. - Dawn.,He's fucking bouncing off the walls.
Partiz katosi ihmisten ilmoilta.,"So, Ronnie Partiz now goes deep underground.",Partiz disappeared off the grid.
"Tapaat naisen, jos lähdet ihmisten ilmoille. Ymmärrätkö?",You will meet someone if you go out and try to meet people.,You'll meet a woman if you go out in public.
Otetaanpas sinut ihmisten ilmoille.,"Come on, little mate, out you come.",Let's get you out in the open.
Huhun mukaan olet käynyt enemmän ihmisten ilmoilla.,"So, rumor has it, you're getting out more often.",Rumor has it you've been out in the world more.
"Ihmisenä ilman henkilötodistusta, - ei rahaa, ei muistojakaan.",As people with no ID no money no memories do.,"A human being with no ID, no money, no memories."
Bougainvilleläiset tapaavat löytää ulos- pääsyn hämmästyttävän itsepintaisesti,Finding a way out is something the Bougainvillians tend to do with startling regularity.,Bougainvilleians tend to find a way out with astonishing stubbornness.
Tämä herra tahtoo itsepintaisesti puhua rouvan kanssa.,"This gentleman is most insistent upon speaking to her ladyship, sir.",This gentleman is anxious to speak to the lady.
Siitä lähtien hän itsepintaisesti ja tehokkaasti - alkoi sepittää teoriaa normaalista kuolemasta.,"Leaving from there, insistent and superficially, it defended the theory of death for natural causes.","From then on, he stubbornly and nastily began concocting a theory of normal death."
Silti sinä itsepintaisesti haluat rakastaa minua.,And yet you're obstinate in your desire to do so.,And yet you want to love me shamelessly.
Onko korvissanne soinut itsepintaisesti?,Have you been hearing a persistent ringing in your ears? Almost an agreeable ringing?,Have you ever heard a stubborn ringing in your ears?
- Jo alkaa lyyti kirjoittamaan.,"- Well, that's more like it.",That's what I'm talking about.
- No johan alkoi lyyti kirjoittaa.,- Now we're getting someplace.,"Well, that's what I'm talking about."
- Jo alkoi lyyti kirjoittaa.,- Now we're getting somewhere.,That's what I'm talking about.
Jo alkoi Lyyti kirjoittaa.,Now we're getting somewhere.,Now this is more like it.
Jo alkoi lyyti kirjoittaa.,"Well, now you're singing a tune that we may dance to.",That's what I'm talking about.
Sayid oli jumalan selän takana.,Sayid was in the middle of nowhere.,Sayid was in the middle of nowhere.
Me olemme jossakin helvetin methlabrassa jumalan selän takana.,We are stuck in a shed in the middle of lorteland.,We're in a fucking meth lab in the middle of nowhere.
"Sinun pitäisi olla sairaalassa, ei täällä jumalan selän takana.","You're sick, Dad. You should be in a hospital not stuck out here in the middle of nowhere.","You're supposed to be in a hospital, not in the middle of nowhere."
Täällä jumalan selän takana ei ole kyttyyiä.,It's a rowdy place. It's out in the middle of nowhere.,There's no cops in the middle of nowhere.
"Täällä jumalan selän takana, suuri virran kulutus paljastaisi homman FBI: lle.","Out here in the sticks, the Feds are tipped off to high consumption.","Out here in the middle of nowhere, having a big power surge would expose it to the FBI."
"En halua juosten kustua anteeksipyyntöäsi, vaan lupauksen.",I don't want your half-assed apology. I want a promise from you.,I don't want to just run off and piss on your apology. I want your promise.
Sitten juoksette pää kolmantena jalkana luoksemme.,Then you flock to us. Huh?,Then you run with your head on the third leg to us.
He juoksivat pää kolmantena jalkana.,They preferred to run.,They ran with their heads on the third leg.
"Onko järkesi jäässä, Ante?","No, Ante, are you stupid?","Are you out of your mind, Ante?"
- Onko sulta perkele järki jäässä?,Have you gone mad?,Are you out of your fucking mind?
Toivottavasti hän onnistuu pysymään kaidalla polulla.,"Now, if only she can strike that happy balance between creative curiosity and criminal trespass.",Let's just hope he keeps out of trouble for a while.
"Että olemme poikenneet kaidalta polulta, jonka Luoja asetti, ja nyt hän laittaa meidät tilille.","That we have departed from the path of righteousness that our lord set out, so now he is holding us to terrible account.","That we've wandered off the straight and narrow path that God put us on, and now he's putting us on trial."
Useampikin vartija on eksynyt kaidalta polulta.,Um... I show more than a few prison guards that have strayed from the path of righteousness.,More guards have lost their way.
Sinun ansiostasi Kristen jätti huumeet ja palasi kaidalle polulle.,It was your class that got Kristen off the cannabis and onto the right track.,"Thanks to you, Kristen left the drugs and went straight."
Lähden kaidalle polulle.,"I'm giving up the trade, going straight.",I'm going straight.
"Jos selviän, minulla on kana kynittävänä kanssasi.","If I do make it, you and I have unfinished business. Yeah, I know.","If I make it, I've got a bone to pick with you."
Meillä on kana kynittävänä.,I've got a score to settle with you.,We got a score to settle.
- Sinullakin oli kana kynittävänä.,And then there's your beef with her on top of that.,You had a score to settle too.
Minulla on kana kynittävänä.,I have a score to settle.,I've got a score to settle.
Minulla on kana kynittävänä kanssasi.,"I've got a bone to pick with you, Detective.",I've got a score to settle with you.
1900 dollaria kankkulan kaivoon.,Nineteen hundred dollars down the drain.,Nine thousand dollars down the drain.
250 dollaria meni kankkulan kaivoon.,$250 and we didn't learn a goddamn thing. $250?,$250 down the drain.
Pantavaksi kankkulan kaivoon.,He's asking us to fund a wild goose chase.,Buried in a hole in the ground.
"Johtuu kai siitä, että rahat meni kankkulan kaivoon.","I guess it's having just thrown $200,000 into the toilet.",I think it's because the money's gone to waste.
Siis miljoonien dollarien edestä tavaraa kankkulan kaivoon.,"Now, we're talking about millions of dollars of merchandise down the drain.",That's millions of dollars worth of merchandise down the drain.
Se on aidattu ja keskellä ei-mitään.,I don't know. It's in the middle of nowhere. It's all fenced in.,It's gated and in the middle of nowhere.
Meidän ei pitäisi tehdä tätä keskellä ei-mitään.,We shouldn't do this in the middle of nowhere.,We shouldn't be doing this in the middle of nowhere.
Jos pitää kuolla ennenaikaisesti keskellä ei-mitään teen sen mieluummin sinun kuin muiden kanssa.,"If I have to fall to an untimely death in the middle of nowhere, I'd rather do it with you than anyone else.","If I have to die prematurely in the middle of nowhere, I'd rather do it with you than with the others."
Aika keskellä ei-mitään malariaklinikaksi.,"It's kind of in the middle of nowhere, isn't it, for a malaria clinic?",Time in the middle of nowhere for a malaria clinic.
"Aina keskellä ei-mitään, salassa.","Always in the middle of nowhere, hiding?","Always in the middle of nowhere, in secret."
Vapaaehtoiset ovat kiven alla.,I'm having a tough time finding volunteers.,Volunteers are swamped.
Tietyt tiedot ovat kiven alla.,"It's just, some of the information I need, it's like getting blood out of a stone.",Certain information is hard to come by.
Vastaukset olivat kiven alla.,Okay. But he was finding it difficult to get any answers.,The answers were hard to come by.
Hyvät miehet ovat kiven alla.,It is impossible to find a good guy in this city.,Good men are hard to come by.
"Ihan sama minne, kunhan liput ovat kiven alla.",Anything hard to get. I don't give a fuck what. Neither will they.,"I don't care where you go, as long as you've got the tickets."
"Arvasin, että tähän on koira haudattuna.",I knew there was something else in there.,I knew there was a catch.
"Sanoit, että siinä on koira haudattuna.","You said it should come without strings. Well, here it is.",You said there was a catch.
"Anteeksi jos olen hieman skeptien, mutta viimeksi kun liittovaltojen agentti tuli tarjoamaan minulle diiliä, siihen oli koira haudattuna... ja sen koiran oli tarkoitus olla minä.","Now, I'm sorry if I seem a little bit skeptical. But the last time a federal agent came up in here offering me a deal, there was a string attached... that I was supposed to put around my neck.","Forgive me if I'm a little skeptical, but the last time a federal agent offered me a deal, there was a dog buried in it... and that dog was supposed to be me."
- Tuohon taitaa olla koira haudattuna.,"Oh, that compliment sounds like it's got a favor attached to it.",I think there's a catch.
"Luulenpa, että sinulla on koira haudattuna.","McBeal, we need to talk to you. We think you have a donkey on your back.",I think you have a secret agenda.
Korjaa luusi tänne!,Bring your ass out here!,Get your ass in here!
Meidän on korjattava luumme täältä ja heti.,We need to leave here now! Go!,We need to get our bones out of here right now.
Korjaa luusi täältä.,"You get your punk ass out of here, fucking bitch.",Get your ass out of here.
"Korjaa luusi käytävästä, George.","Get out of the god damn hallway, George.","Get your ass out of the hallway, George."
Korjatkaa luunne!,Get going!,Get your bones fixed!
"Maalaistalossa, ihan korvessa.",Ta-da! I'm in a farmhouse that's miles from anywhere.,In a farmhouse in the middle of nowhere.
Olemme kaukana korvessa.,We are away on the boonies here.,We're in the middle of nowhere.
Asut korvessa väärällä nimellä.,You're living in the middle of nowhere under an assumed name. I can help you.,You live in the middle of nowhere under a false name.
