sent,reference,translation
あっという間,Nothing.,So fast.
覚えてる あっという間の出来事,As I recall it ended much too soon You look marvelous.,I remember. It happened so fast.
先生ならあっという間よ,Doctor Mixter have you stitched up in no time.,"If you were a doctor, you'd be out in no time."
ほら ほら あっという間に過ぎ去る 取るに足らないことだ,"Look, look, it was fleeting, inconsequential.","Look, look, it's gone so fast, it's not enough."
もしこれが本当に最後のチャンスなら、 何かあっと言わせるようなものを見つけないと。,"If this really is your last chance, we need to find you something spectacular.","If this really is our last chance, we need to find something that will make you say it."
- 違うんだ - あっと言わせたくて,You're just trying to make me say something nice.,- I just wanted to say it.
この新しいパートナーシップの早い成功を 互いに喜んでいます あっと言う間の2年、ヤムラに 最初のGP勝利をもたらしました,Both delighted with the quick success of this new partnership which has brought Yamura his first Grand Prix victory after two years of flying.,"We're so pleased to announce the quick success of this new partnership, two years later, the first victory in Yamura's history."
あっと言う間だ,In a heartbeat,It's gonna be quick.
炎よ あっと言う間に 骨まで燃え尽きる,He'll melt the flesh off your bones in the blink of an eye.,"Fire. In no time, the bones will burn."
(哲希) プハーッ そりゃそうだ このまんまだと うちのクラスは 吉森のいいようにされちまうね,"Well, that's right. If this continues, it will only benefit Yoshimori.",That's true. Our class is going to be good for Yoshimori.
奉公に行かなくていいようにする,"I promise thee, you'll need not leave to serve the Tildens nor any family else.",I'll make sure you don't have to go to the service.
勝手なまねをした罰だ いい気味だ,Enough! They've had their fun!,It's a punishment for being selfish. It's nice.
- 全くいい気味だな メリー,"-Not too happy at all, Merry.","- That's quite a ride, Merry."
いい気味だね,Crying like a sucky baby.,That's nice.
さあさあ いい目が出でてくれよ,"CROUPIER: All right, boys. Come on, now.",Come on. Give me a good look.
奴を見て... 奴の 大きくて かわいい目を見て... 答えてくれよ,"Look into his eyes those big, pretty eyes and tell me yes or no.","Look at him... look at his big, cute eyes... and answer me."
まわりの連中は いい迷惑だな 自分が間違ってることを 君は決して認めない,"You know, it must be very difficult for people around you, the fact you can never admit to being wrong.","That's a good thing about the people around you, because you're never gonna admit that you're wrong."
患者さん いい迷惑だな。,What a nuisance it must be for the patient.,That's a good thing about the patient.
彼はいい顔をしないわ,"I'd tell him myself, but he wouldn't understand.",He doesn't have a good face.
いい子になるのも・・,I was free.,Being a good boy...
