sent,reference,translation
On va se faire cuire un œuf !,Let's go make some omelets!,We're gonna get an egg cooked!
J'ai eu la banane !,I got the banana.,I got the banana!
La creme a la banane est la première a partir.,Banana cream's the first to go.,The banana tea party is the first to go.
"- Papa, puis-je avoir les patates ?","- Dad, may I please have the potatoes?","- Dad, can I have the potatoes?"
Il y a les patates des Guignard et il y a les miennes.,My potatoes are different.,There's the gugnards' potatoes and there's mine.
"Je suis certain que c'est la meilleure de leurs 57 enseignes ""qui ont la patate"" ! *","Yes, I'm sure this is the best of their 57 ""spudtacular"" east coast locations.",I'm sure it's the best of their one-sixty-six potato signs!
J'ai gardé le reçu pour prouver que j'ai les patates Laratte.,I brought the receipt to prove I got Laratte potatoes.,I kept the receipt to prove I have the Laratte potatoes.
Je peux avoir les patates ?,"May I have the potatoes, please?",Can I have the potatoes?
"Si je suis là, tu auras le coup de foudre","If I'm there, you'll feel the thunder","If I'm here, you'll be in love at first sight"
Comment a-t-il été frappé par la foudre... lors d'une tempête sans coups de foudre repertoriés ?,How did he get struck by lightning... during a storm with no recorded lightning strikes?,How did he get struck by lightning... in a storm with no lightning strikes?
Tu me parlais du coup de foudre...,Remember how you told me about lightning striking?,You were telling me about love at first sight...
Ce dernier coup de foudre a grillé mon générateur.,That last lightning strike fried my generator.,That last crush burned my generator.
"Ce n'était pas un coup de foudre, ça semblait... évident.",It wasn't like a bolt of lightening it just seemed... obvious.,"It wasn't love at first sight, it seemed... obvious."
"Moi, j'ai bien une idée... Vous donnez votre langue au chat ? Couper le courant.","Okay, okay, so, then, let me throw this out there and see if the cat licks it up: we cut the power.",I have an idea... you give up your tongue?
On pourrait refaire le pont du Queen Elizabeth 2 avec tout ce bois.,You could deck the QE 2 with the wood they gave me.,We could rebuild the Queen Elizabeth 2 Bridge with all this wood.
Mais j'essaie de faire le pont.,But I've been trying to do a backbend.,But I'm trying to make the bridge.
Tu veux faire le pont ?,You want to do it backwards?,You want to make the bridge?
Je suis pour faire le pont réparé.,I'm to get the bridge repaired.,I'm all for getting the bridge fixed.
Faisons le pont !,Set up the bridge!,Let's make the bridge!
Il n'y a pas de chats.,There are no cats.,There are no cats.
"Il n'y a pas un chat dans les rues, encore moins de palanquins.","There's not a cat in the streets, much less a palanquin.","There's not a cat on the streets, let alone palanquins."
Il n'y a pas un chaton quelque part qui a besoin d'une manucure ?,Isn't there a kitten somewhere that needs a manicure?,Isn't there a kitten out there that needs a nail?
Mais il n'y a pas de chat.,Only there is no cat.,But there's no cat.
- Il n'y a pas de chaton.,- There is no kitten.,- There's no kitten.
- Jette l'éponge !,Throw the towel! Throw the towel!,- Throw in the towel!
- Les carottes sont cuites ?,The carrots are cooked?,- Are the carrots cooked?
"Oui. ""Les carottes sont cuites.""","Yes. ""The carrots are cooked.""","Yes. ""The carrots are cooked."""
Les carottes sont cuites!,That soup's gonna boil!,Carrots are cooked!
"Cette fois, les carottes sont cuites.","This time, the carrots are cooked.","This time, the carrots are cooked."
Les carottes sont cuites !,The carrots are cooked!,Carrots are cooked!
"J'écris pas ""Bises, Stephanie"" à quelqu'un qui a le doigt dans le nez tout le temps.","I can't sign, ""Love, Stephanie"" to someone who has his finger in his nose all day.","I don't write ""Fuck you, Stephanie"" to someone who has her finger in their nose all the time."
Pourquoi tu te mets autant les doigts dans le nez ?,Why do you have to pick your nose so much?,Why are you getting your fingers in your nose so much?
Je rêve parfois que je t'agraffe les doigts dans le nez.,I have dreams where I staple your fingers to your face.,Sometimes I dream of cutting your fingers in your nose.
- Et me mettre les doigts dans le nez?,Can I pick my nose?,- And stick your fingers in my nose?
T'as encore le doigt dans le nez!,You still have the finger in the nose!,You still got your finger in your nose!
Je n'y vois que du feu Cliquetis,# All I see are stars #,I can't see a thing.
- Je n'y vois que du feu,# All I see are stars #,- I can't see a thing.
