,contains_idioms
heittää,20240
auki,11728
vaihe,9907
korvi,871
olla hukassa,717
soittaa suu,252
ihminen ilma,249
olla lammas,204
pihkka,161
mennä putki,131
rysä päältä,93
kivi alla,91
kaita polku,86
keskellä ei#mitä,77
"auki,persaukinen",76
vääntää rauta#lanka,66
lähteä vetää,63
kana kynittää,58
kuin kaksi marja,52
oppia kanta#pää kautta,48
eilinen teeri poika,42
oma lehmä oja,40
lähteä lapanen,39
äiti näköinen,38
"heittää veivä,heittää",38
pilvin pimein,37
koira haudattua,37
tumpu suora,36
nousta väärä jalka,35
mennyt talvi lumi,34
hyppiä seinä,32
kääntää kelkka,30
potkaista tyhjä,28
asettua poikki#telo,27
auko pää,24
"heittää,auki",23
vetää turpa,23
kuin viili#pytty,22
oja allikko,22
korjata luu,21
mennä yli hilse,19
jumala selkä takana,19
hevonen karata,18
ei nähdä metsä puu,18
aasinsi,18
itsepintaisesti,17
sokeri pohja,17
äimän käkenä,15
"heittää,vaihe",15
järki jää,15
tulla tupen#rapina,14
ottaa tilaisuus vaari,14
kankkula kaivo,12
"heittää,heittää lusikka nurkka",11
pieni päin,11
maksaa itse kipeä,10
nalli kallio,9
panna tikku ristiin,9
"auki,vaihe",8
"auki,takki auki",8
vintti pimetä,7
jo alkaa lyyti kirjoittaa,6
oksa pois,6
mennä pipari,6
tykätä kyttyrä,6
vetää herne nenä,6
matti kukkaro,6
kuin täi terva,6
ruosi ranne,5
peukalo keskellä kämmen,4
"heittää,kankkula kaivo",4
yritys hyvä kymmenen,4
pata kattila soida,4
kukkona tunkio,4
elää kuin pelto,3
soitella sota,3
ei hätä olla tämä näköinen,3
juosta pää kolmas jalka,2
nenän#valkaisu,2
vasta#rannan#kiiski,2
ei olla kaikki muumi laakso,2
kuin seipä niellä,2
kylmä kuin ryssä helvetti,2
"auki,hevonen karata",2
vetää hirsi,2
sataa kuin esteri perse,1
kuin kala ilman polku#pyörä,1
"auki,rysä päältä",1
"auki,olla hukassa",1
"heittää,soittaa suu",1
vaihtaa hiippa#kunta,1
oikaista koipi,1
pukki kaalia vartija,1
"heittää,jumala selkä takana",1
puuro ja velli sekaisin,1
"korvi,olla hukassa",1
"vaihe,jumala selkä takana",1
hymyillä kuin hanko keksiä,1
ei olla jänis selkä,1
ei olla kaikki intiaani kanootti,1
ei kauan nokka tuhista,1
"tumpu suora,auki",1
"vaihe,oja allikko",1
"olla hukassa,kääntää kelkka",1
rikkana rokka,1
juosi kustu,1
"vaihe,olla hukassa",1
