source,references,hypothesis,type
あっという間,['Nothing.'],in a blink of an eye,idiomatic
覚えてる　あっという間の出来事,['As I recall it ended much too soon You look marvelous.'],I remember what happened so quickly,idiomatic
先生ならあっという間よ,['Doctor Mixter have you stitched up in no time.'],Teacher,idiomatic
ほら　ほら　あっという間に過ぎ去る 取るに足らないことだ,"['Look, look, it was fleeting, inconsequential.']","Look, look, it&#39;s trivial",idiomatic
もしこれが本当に最後のチャンスなら、 何かあっと言わせるようなものを見つけないと。,"['If this really is your last chance, we need to find you something spectacular.']","If this really is our last chance, we have to find something to wow.",idiomatic
- 違うんだ - あっと言わせたくて,"[""You're just trying to make me say something nice.""]",- No - I wanted to surprise you.,idiomatic
この新しいパートナーシップの早い成功を 互いに喜んでいます あっと言う間の２年、ヤムラに 最初のＧＰ勝利をもたらしました,['Both delighted with the quick success of this new partnership which has brought Yamura his first Grand Prix victory after two years of flying.'],"We congratulate each other on the early success of this new partnership which, in the blink of an eye, gave Yamura its first GP victory in two years.",idiomatic
あっと言う間だ,['In a heartbeat'],It&#39;s instant,idiomatic
炎よ あっと言う間に 骨まで燃え尽きる,"[""He'll melt the flesh off your bones in the blink of an eye.""]","Fire, in no time, burns down to the bones",idiomatic
（哲希） プハーッ そりゃそうだ このまんまだと うちのクラスは 吉森のいいようにされちまうね,"[""Well, that's right. If this continues, it will only benefit Yoshimori.""]","(Tetsuki) Phuh, that&#39;s right. If it&#39;s like this, our class will be treated like Yoshimori.",idiomatic
奉公に行かなくていいようにする,"[""I promise thee, you'll need not leave to serve the Tildens nor any family else.""]",avoid having to go to servitude,idiomatic
勝手なまねをした罰だ いい気味だ,"[""Enough! They've had their fun!""]","It&#39;s punishment for imitating selfishness, I&#39;m feeling good",idiomatic
- 全くいい気味だな メリー,"['-Not too happy at all, Merry.']","- You&#39;re totally fine, Merry.",idiomatic
いい気味だね,['Crying like a sucky baby.'],feeling good,idiomatic
さあさあ いい目が出でてくれよ,"['CROUPIER: All right, boys. Come on, now.']","Come on, come on, give me a good eye",idiomatic
