source,references,hypothesis,type
ドバイのような新しい都市や ローマのような古代都市に建つ ザハ ・ ハディッドの 国立21世紀美術館 そして ここ ニューヨークは ハイラインの開発によって 大いに影響を受けました,"['I think of new cities like Dubai or ancient cities like Rome with Zaha Hadid &apos;s incredible MAXXI museum , or like right here in New York with the High Line , a city which has been so much influenced by the development of this .']","New cities like Dubai, ancient cities like Rome, Zaha Hadid&#39;s National Museum of the 21st Century, and here in New York, have been greatly impacted by the development of the High Line.",random
窓やドアの向こうから 幼い子供たちが こちらを覗き見ており マココは人で 溢れている一方で 実は 何より驚くのが 全ての建物が子供で 溢れていることです,"['Behind every window and door frame , you &apos;ll see a small child peering back at you , and while Makoko seems to be packed with people , what &apos;s more shocking is actually the amount of children pouring out of every building .']","Small children are peering out of the windows and doors, and while Makoko is teeming with people, the most surprising thing is that the entire building is teeming with children.",random
長年の間 ザバリーンの人々は 仮設の村に住み 地方行政を避けるため 遊牧民のような生活をしてきました しかし 1980年代初頭に カイロの東の辺境に位置する モカタム岩に定住しました,"['For years , the Zabbaleen would live in makeshift villages where they would move around trying to avoid the local authorities , but in the early 1980s , they settled on the Mokattam rocks just at the eastern edge of the city .']","For many years, the people of Zabaleen lived in makeshift villages, living a nomadic lifestyle to avoid local administration, but in the early 1980s they settled on Mocatum Rock, on Cairo&#39;s eastern frontier.",random
今日紹介した これらの場所を見ると 実は 「 普通 」 などないということに 感銘を受けます そして 人はどのような環境にも 適応できることを 証明しています,"['In all these places I &apos;ve talked about today , what I do find fascinating is that there &apos;s really no such thing as normal , and it proves that people are able to adapt to any kind of situation .']","When I look at these places I&#39;ve shown you today, I&#39;m really struck by the fact that there&#39;s no such thing as &quot;normal,&quot; and they prove that humans can adapt to any environment.",random
ラビン元首相は オスロ ･ プロセスに関わった際 「 和平は友と結ぶのではない 和平とは 敵と結ぶものだ 」 と言いました 困難ですが 必要なことなのです,"['Prime Minister Rabin said when he engaged the Oslo process , &quot; &quot; You don &apos;t make peace with your friends , you make peace with your enemies . &quot; &quot; It &apos;s hard , but it is necessary .']","Former Prime Minister Rabin, when he was involved in the Oslo Process, said, &quot;Peace is not made with friends, peace is made with enemies.&quot; It is difficult but necessary.",random
それから 60年を経た今 人々は街を 当初設計された目的とは 全く別の方向で使用しています 例えば この人たちは 集会所の窓を 椅子代わりにしています,"['Now 60 years later , the city has been taken over by people in very different ways from whatever perhaps intended for , like here , where you have the people sitting in the windows of the assembly hall .']","Now, 60 years later, people are using the city in completely different ways than it was originally designed for.",random
ある日突然 NGOは街頭でスローガンを叫ぶだけでなく 交渉の場に参加するようになりました 彼らがこうした武器の犠牲者を 代表していたことが理由の一つです,"['All of a sudden , NGOs were not only standing in the streets , crying their slogans , but they were taking &#91; them &#93; into the negotiations , partly because they represented the victims of these weapons .']","Suddenly one day, NGOs were not just shouting slogans in the streets, they were participating in the negotiations, in part because they represented the victims of these weapons.",random
キャリアを通じて 私は幸運にも 世界中のすぐれた建築家の キャリアを通じて 私は幸運にも 世界中のすぐれた建築家の 仕事を記録し 彼らの仕事がどのように 都市に影響を及ぼすか 観察することができました,"['Throughout my career , I &apos;ve been fortunate enough to work with many of the great international architects , documenting their work and observing how their designs have the capacity to influence the cities in which they sit .']","Throughout my career, I have been fortunate to document the work of some of the world&#39;s greatest architects and to observe how their work affects cities. was made",random
もし我々がこうした集団に対して 民主主義に移行して 国家間の正常で文明化された関係の 一端を担うようになれば 利益があるのだと 示すことができなければ どうなるでしょう ？,"['And if we cannot demonstrate to these groups that if you move towards democracy , if you move towards taking part in civilized and normal standards among states , there are some rewards on the other side .']","What if we can&#39;t show these groups that there are benefits to moving to democracy and becoming part of normal, civilized relations between nations?",random
最後に 私の友人であり インスピレーションの源である ジータ ・ コブという ニューファンドランドの フォーゴ島を拠点にする ショアファスト基金の 創設者の言葉を引用したいと思います,"['I would like to end with a quote from a friend of mine and a source of inspiration , Zita Cobb , the founder of the wonderful Shorefast Foundation , based out of Fogo Island , Newfoundland .']","Finally, I would like to quote my friend and inspiration, Zita Cobb, the founder of the Shorefast Foundation, which is based on Fogo Island, Newfoundland.",random
初めてインドに行った時訪れた家は 土間で水道もなければ 電気もない状態でした それでもこれが世界中で見られる実際の光景なのです,"['My first trip in India , I was in a person &apos;s home where they had dirt floors , no running water , no electricity , and that &apos;s really what I see all over the world .']","The first time I went to India, the house I visited was dirt floor, no running water, no electricity.",random
外交における正当性とは何でしょう ？ 地域において広域の力を持つ 我々があいまいに集団と呼んでいる 彼らのことを理解し 外交に反映することができないならば 我々外交官が生み出す 問題解決の正当性は何でしょう ？,"['What is the legitimacy of diplomacy , of the the solution we devise as diplomats if they cannot be reflected and understood by also these broader forces of societies that we now very loosely call groups ?']",What is legitimacy in diplomacy? What is the legitimacy of the problem-solving that we diplomats produce if we cannot understand and reflect in our diplomacy what we vaguely call groups with wide-area powers in the region?,random
