contains_idioms,text,original_text
あっ と いう 間,Nothing.,あっという間
あっ と いう 間,As I recall it ended much too soon You look marvelous.,覚えてる　あっという間の出来事
あっ と いう 間,Doctor Mixter have you stitched up in no time.,先生ならあっという間よ
"あっ と いう 間,取る に 足る ない","Look, look, it was fleeting, inconsequential.",ほら　ほら　あっという間に過ぎ去る 取るに足らないことだ
あっ と 言う せる,"If this really is your last chance, we need to find you something spectacular.",もしこれが本当に最後のチャンスなら、 何かあっと言わせるようなものを見つけないと。
あっ と 言う せる,You're just trying to make me say something nice.,- 違うんだ - あっと言わせたくて
あっ と 言う 間,Both delighted with the quick success of this new partnership which has brought Yamura his first Grand Prix victory after two years of flying.,この新しいパートナーシップの早い成功を 互いに喜んでいます あっと言う間の２年、ヤムラに 最初のＧＰ勝利をもたらしました
あっ と 言う 間,In a heartbeat,あっと言う間だ
あっ と 言う 間,He'll melt the flesh off your bones in the blink of an eye.,炎よ あっと言う間に 骨まで燃え尽きる
いい よう だ する,"Well, that's right. If this continues, it will only benefit Yoshimori.",（哲希） プハーッ そりゃそうだ このまんまだと うちのクラスは 吉森のいいようにされちまうね
いい よう だ する,"I promise thee, you'll need not leave to serve the Tildens nor any family else.",奉公に行かなくていいようにする
いい 年 を する て,Jesus Christ! I was just thinking of a new cap.,あんたこそいい年をして
いい 年 を する て,"- Look, it's sweeping the floor.",いい年をして 鏡なんか覗き込みやがって これは父ちゃんにだ
いい 気味,Enough! They've had their fun!,勝手なまねをした罰だ いい気味だ
いい 気味,"-Not too happy at all, Merry.",- 全くいい気味だな メリー
いい 気味,Crying like a sucky baby.,いい気味だね
いい 目 が 出る,"CROUPIER: All right, boys. Come on, now.",さあさあ いい目が出でてくれよ
いい 目 を みる,"Look into his eyes those big, pretty eyes and tell me yes or no.",奴を見て... 奴の 大きくて かわいい目を見て... 答えてくれよ
いい 迷惑 だ,"You know, it must be very difficult for people around you, the fact you can never admit to being wrong.",まわりの連中は　いい迷惑だな 自分が間違ってることを 君は決して認めない
いい 迷惑 だ,What a nuisance it must be for the patient.,患者さん　いい迷惑だな。
いい 迷惑 だ,isn't it?,でも いい迷惑ですよね
いい 顔 を する ない,"I'd tell him myself, but he wouldn't understand.",彼はいい顔をしないわ
いい子 に なる,I was free.,いい子になるのも・・
いい子 に なる,"You kept running, Sue, little Suze, because you've been dreaming about senior year and the perfect boyfriend and the perfect prom your whole goddamned life.",あなたは走り続けた　スー いい子になりたくてね 大学生になるのを夢見て そして理想のボーイフレンドと 素晴らしいプロムを
いい子 に なる,"Now remember, Pinocchio, be a good boy.",では いい子になるのよ
いざ と いう 時,"He was a real handful... but when it came down to it, he was very brave.",問題児だったけど― いざという時は勇敢だった
いざ と いう 時,"If push came to shove, I was wondering how soon you might be able to take over the lab yourself.",いざという時が来たら― 君はどのくらいで ラボを引き継げるかな
いざ と いう 時,I'm going out like I came in: screaming and kicking.,いざという時　やり返す
える ほど,Apparently he can buy Delaware. We also found his arrival in the party footage the publicist sent over.,彼はデラウェア州を 買えるほどの金持ちのようです 広報が送ってきたパーティーの映像に
える ほど,He's not important enough to remember his name?,彼の名前は憶えるほど重要ではないと?
える ほど,We are not so naive that we think that all of us live.,私たちは彼らが考えるほど 神経質ではない
"える ほど,手 を 加える","The more you change things, the quicker the projections start to converge them.",君が手を加えるほど、ここの人たちは 君の周りに集まってくる
お じゃん に なる,"Mm. Now, that blows.",おじゃんになった
お 世辞 だ も,"Whoa. Well, I'm flattered.",ほぉ　お世辞でも嬉しいな
お 先真っ 暗,'Cause you just blew the best thing you had going for you.,お先真っ暗だな 勝手にやってろ
お 呼ぶ だ ない,And he didn't invite me.,お呼びじゃないでしょ
お 呼ぶ だ ない,No cavalry comin'?,騎兵隊はお呼びでないか？ そうだ
お 呼ぶ だ ない,Never even seen you?,お呼びでない、とな？
お 安い 御 用,- You're welcome.,- お安い御用
お 山 の 大将,"And once you've won, once you're king of the mountain,",あなたが勝って― お山の大将になったら―
お 手 の 物,You're so good with him.,お手の物ね
お 手 の 物,- Has been known to happen.,このくらいはお手の物さ
お 手 の 物,So on cross-examination the jury could hear about how well he handled a gun?,反対尋問で陪審員は 銃はお手の物だった事が判りますし
お 手上げ,Allergies. Nothing you can do.,お手上げね
お 手上げ,I wish to hell we did.,お手上げだよ
お 手上げ,"Yeah, I got the basics. Wow. You are so in over your head.",あぁ　基本的なことはね 君にはお手上げだろ
お 目 に 掛かる,"- It's great to see you, Leslie!",とんだところでお目に掛かったな
お 目 に 掛かる,"I'm very pleased, if slightly puzzled, to make your acquaintance.",すこし戸惑われたかもしれませんが お目に掛かれて大変光栄です
お 目 に 掛かる,"I'm gonna make a problem for you. I'm gonna be seeing you again, real soon.",礼はする、またお目に掛かろう 近いうちにな
お 目 に 掛ける,"What you're about to see will astound your very senses and harrow... yes, harrow your souls.",これからお目に掛けるものは あなたの肝をつぶし 魂を
お 誂え向き,So we've got our work cut out for us.,私たちにお誂え向きの仕事だわ
お 誂え向き,We're not going to get a better window.,お誂え向きだわ
お 迎える が 来る,"One of these days, you'll have to get your ass on a wagon and stay there.",そろそろ、あんたにゃお迎えが来る頃なんだから
お 迎える が 来る,"Your ride's here, pal. Take him.",お迎えが来ましたよ
お 門違い,I was the US Treasury Secretary. I'm in some position to make that call.,財務長官だったんだよ お門違いどころか
お 門違い,"'Cause you shouldn't be, anyway.",そもそも、お門違いだし
お 門違い,Because you'd be barking up the wrong beanstalk.,身分の違い 願うのは　お門違い
おべっ か を 使う,Did they kiss your ass to your satisfaction?,あいつ等のおべっかで 満足しました？ Kiss your(my) ass おべっかを使う、誰々のゴマをする
かっと なる,"Listen, I'm sure your sister didn't mean what she said.",かっとなって言っただけだよ
きまり が 悪い,You embarrassed about me?,きまりが悪かったか？
きまり が 悪い,It was fucking embarrassing. It was only for five minutes.,ひどくきまりが悪かったよ たった５分間なのに
きまり が 悪い,It's embarrassing.,きまりが悪いわ
けじめ を 付ける,I'll finish what I started.,始めた事の けじめを付けたいよ
けり を 付ける,"Hey, don't start this if you don't want to finish it.",おい　けりを付けたくないなら やめろ？
しょう も ない,You fucking drunk.,しょうもない酔っぱらいが
しょう も ない,Hooked up with this guy. He was no good. His name was...,しょうもない男と 関係を持ったんだ
しょう も ない,Trent was a dick.,- トレントしょうもないやつだ
そう は 問屋 が 卸さ ない,"I just don't get it, Spock.",だが そうは問屋が卸さない
そこ へ 行く と,Do we have to go there?,それは　あそこへ行く ということか？
そこ へ 行く と,- Texas? - He said he was going to Texas.,そこへ行くと言ってた
そっぽ を 向く,"Never give me a smile, or even a shrug.",笑顏も見せてくれないし 直ぐそっぽを向くし
その 手 は 食う ない,"Oh, no, I'm not falling for that.",その手は食わないわ
その 手 は 食う ない,I know what you're doing.,その手は食わない
その 手 は 食う ない,I'm not falling for this shit.,もうその手は食わないわ
