sent,reference,translation
先生ならあっという間よ,Doctor Mixter have you stitched up in no time.,"If you're a teacher, you'll be a teacher in a minute."
覚えてる　あっという間の出来事,As I recall it ended much too soon You look marvelous.,I remember what happened so quickly.
あっという間,Nothing.,It's so quick.
ほら　ほら　あっという間に過ぎ去る 取るに足らないことだ,"Look, look, it was fleeting, inconsequential.","Look, look, it's all gone so fast. It's nothing."
- 違うんだ - あっと言わせたくて,You're just trying to make me say something nice.,- I just wanted to say something.
もしこれが本当に最後のチャンスなら、 何かあっと言わせるようなものを見つけないと。,"If this really is your last chance, we need to find you something spectacular.","If this is really your last chance, you have to find something that makes you say something crazy."
炎よ あっと言う間に 骨まで燃え尽きる,He'll melt the flesh off your bones in the blink of an eye.,It's a fire. It's gonna burn to your bones.
あっと言う間だ,In a heartbeat,It's gonna be a while.
この新しいパートナーシップの早い成功を 互いに喜んでいます あっと言う間の２年、ヤムラに 最初のＧＰ勝利をもたらしました,Both delighted with the quick success of this new partnership which has brought Yamura his first Grand Prix victory after two years of flying.,"We're both very happy with the rapid success of this new partnership, and we've been bringing Yamura his first Grand Prix victory in two short years."
奉公に行かなくていいようにする,"I promise thee, you'll need not leave to serve the Tildens nor any family else.",I'll make sure you don't have to go to the Inquisitor.
（哲希） プハーッ そりゃそうだ このまんまだと うちのクラスは 吉森のいいようにされちまうね,"Well, that's right. If this continues, it will only benefit Yoshimori.","That's right. If this goes well, our class will be made to look good in Yoshimori."
あんたこそいい年をして,Jesus Christ! I was just thinking of a new cap.,You're the one who's got a good age.
いい年をして 鏡なんか覗き込みやがって これは父ちゃんにだ,"- Look, it's sweeping the floor.","You're old enough to look in the mirror, and this is for your dad."
いい年をして 鏡なんか覗き込みやがって これは父ちゃんにだ,"- Look, it's sweeping the floor.","You're old enough to look in the mirror, and this is for your dad."
- 全くいい気味だな メリー,"-Not too happy at all, Merry.","- That's totally creepy, Merry."
勝手なまねをした罰だ いい気味だ,Enough! They've had their fun!,That's what I did. That's what I'm talking about. That's what I'm talking about. That's what I'm talking about.
いい気味だね,Crying like a sucky baby.,That's a good smell.
さあさあ いい目が出でてくれよ,"CROUPIER: All right, boys. Come on, now.","Come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on."
奴を見て... 奴の 大きくて かわいい目を見て... 答えてくれよ,"Look into his eyes those big, pretty eyes and tell me yes or no.","Look at him... look at his big, pretty eyes... and answer me."
患者さん　いい迷惑だな。,What a nuisance it must be for the patient.,The patient's a real nuisance.
でも いい迷惑ですよね,isn't it?,"But it's really annoying, isn't it?"
まわりの連中は　いい迷惑だな 自分が間違ってることを 君は決して認めない,"You know, it must be very difficult for people around you, the fact you can never admit to being wrong.","It's a lot of trouble around here, and you're never gonna admit you're wrong."
彼はいい顔をしないわ,"I'd tell him myself, but he wouldn't understand.",He doesn't look so good.
あなたは走り続けた　スー いい子になりたくてね 大学生になるのを夢見て そして理想のボーイフレンドと 素晴らしいプロムを,"You kept running, Sue, little Suze, because you've been dreaming about senior year and the perfect boyfriend and the perfect prom your whole goddamned life.","You keep running, Sue, and you want to be a good girl, and you dream of becoming a college student, and you're going to have a wonderful prom with your ideal boyfriend."
では いい子になるのよ,"Now remember, Pinocchio, be a good boy.",Then you're going to be a good girl.
いい子になるのも・・,I was free.,I don't know how to be a good girl.
いざという時　やり返す,I'm going out like I came in: screaming and kicking.,I'll get back to you when I need it.
いざという時が来たら― 君はどのくらいで ラボを引き継げるかな,"If push came to shove, I was wondering how soon you might be able to take over the lab yourself.","When the moment comes, how soon will you be able to take over the lab?"
問題児だったけど― いざという時は勇敢だった,"He was a real handful... but when it came down to it, he was very brave.","He was a problem, but he was brave when he needed it."
彼はデラウェア州を 買えるほどの金持ちのようです 広報が送ってきたパーティーの映像に,Apparently he can buy Delaware. We also found his arrival in the party footage the publicist sent over.,He seems to be rich enough to buy Delaware.
彼の名前は憶えるほど重要ではないと?,He's not important enough to remember his name?,Isn't his name important enough to remember?
私たちは彼らが考えるほど 神経質ではない,We are not so naive that we think that all of us live.,We're not as nervous as they think we are.
君が手を加えるほど、ここの人たちは 君の周りに集まってくる,"The more you change things, the quicker the projections start to converge them.","The more you do, the more people are coming around you."
おじゃんになった,"Mm. Now, that blows.",I'm in trouble.
ほぉ　お世辞でも嬉しいな,"Whoa. Well, I'm flattered.","Oh, I'm glad to hear that."
お先真っ暗だな 勝手にやってろ,'Cause you just blew the best thing you had going for you.,You're in the dark. You're on your own.
騎兵隊はお呼びでないか？ そうだ,No cavalry comin'?,"You didn't call the cavalry, did you?"
お呼びでない、とな？,Never even seen you?,"You didn't call for me, did you?"
お呼びじゃないでしょ,And he didn't invite me.,You didn't call for me.
- お安い御用,- You're welcome.,"- Easy, easy."
あなたが勝って― お山の大将になったら―,"And once you've won, once you're king of the mountain,","When you win and you become general of the mountain,"
このくらいはお手の物さ,- Has been known to happen.,I'm pretty good at this.
お手の物ね,You're so good with him.,That's what I'm talking about.
反対尋問で陪審員は 銃はお手の物だった事が判りますし,So on cross-examination the jury could hear about how well he handled a gun?,"In the cross-examination, the jury will know that the gun was yours."
お手上げね,Allergies. Nothing you can do.,I don't know what to do.
お手上げだよ,I wish to hell we did.,I don't know what to do.
あぁ　基本的なことはね 君にはお手上げだろ,"Yeah, I got the basics. Wow. You are so in over your head.","Yeah, the basics are, uh, you know, you're pretty good at it."
礼はする、またお目に掛かろう 近いうちにな,"I'm gonna make a problem for you. I'm gonna be seeing you again, real soon.","Thank you, and I'll see you again soon."
とんだところでお目に掛かったな,"- It's great to see you, Leslie!",I'm glad to see you.
すこし戸惑われたかもしれませんが お目に掛かれて大変光栄です,"I'm very pleased, if slightly puzzled, to make your acquaintance.","I know I'm a little confused, but I'm very honored to meet you."
これからお目に掛けるものは あなたの肝をつぶし 魂を,"What you're about to see will astound your very senses and harrow... yes, harrow your souls.",What you're about to see will destroy your heart and your soul.
お誂え向きだわ,We're not going to get a better window.,You're looking good.
私たちにお誂え向きの仕事だわ,So we've got our work cut out for us.,It's a good job for us.
そろそろ、あんたにゃお迎えが来る頃なんだから,"One of these days, you'll have to get your ass on a wagon and stay there.",It's time for you to pick me up.
お迎えが来ましたよ,"Your ride's here, pal. Take him.",They're here to pick you up.
財務長官だったんだよ お門違いどころか,I was the US Treasury Secretary. I'm in some position to make that call.,I was the secretary of finance. It wasn't a mistake.
身分の違い 願うのは　お門違い,Because you'd be barking up the wrong beanstalk.,I don't want a difference of status.
そもそも、お門違いだし,"'Cause you shouldn't be, anyway.",I don't think you're in the right place at all.
あいつ等のおべっかで 満足しました？ Kiss your(my) ass おべっかを使う、誰々のゴマをする,Did they kiss your ass to your satisfaction?,Are you satisfied with what they're doing?
かっとなって言っただけだよ,"Listen, I'm sure your sister didn't mean what she said.",I told you not to be mad at me.
ひどくきまりが悪かったよ たった５分間なのに,It was fucking embarrassing. It was only for five minutes.,I've been so embarrassed. I've only been here five minutes.
きまりが悪いわ,It's embarrassing.,I'm embarrassed.
きまりが悪かったか？,You embarrassed about me?,Are you embarrassed?
始めた事の けじめを付けたいよ,I'll finish what I started.,I'd like to make sure you're comfortable with what you started.
おい　けりを付けたくないなら やめろ？,"Hey, don't start this if you don't want to finish it.","Hey, if you don't want to end this, don't do it."
しょうもない男と 関係を持ったんだ,Hooked up with this guy. He was no good. His name was...,I had a relationship with a guy I didn't know.
しょうもない酔っぱらいが,You fucking drunk.,You're a fucking drunk.
- トレントしょうもないやつだ,Trent was a dick.,"- Trent, you're an asshole."
だが そうは問屋が卸さない,"I just don't get it, Spock.",But that's not what they're selling.
そこへ行くと言ってた,- Texas? - He said he was going to Texas.,He said he was going there.
それは　あそこへ行く ということか？,Do we have to go there?,Does that mean we're going there?
笑顏も見せてくれないし 直ぐそっぽを向くし,"Never give me a smile, or even a shrug.",He won't even show me a smile. I'll be right back.
その手は食わないわ,"Oh, no, I'm not falling for that.",I wouldn't eat that.
もうその手は食わないわ,I'm not falling for this shit.,I'm not eating that anymore.
その手は食わない,I know what you're doing.,I wouldn't eat that.
それはそれは、ほれぼれすること 目元が引き立って素晴らしいことね,"Okay. Well, you look adorable. It really brings out your eyes.","Well, that's a great thing to see."
それは それは良かった - クソ,"That's-- that's good, right?",That's good.
めっちゃ うれしかった それは それは普通にうれしかった 俺は,"-Yeah, it made me super happy. It made me happy.",I was so happy that it was normal for me.
そ知らぬ顔で 私の人生を奪ったせいでしょ,Just because you walked in my shoes don't you think for a moment that you know me.,It's because you took my life away from me with a face you didn't know.
前回までのFringe... そ知らぬ顔で 成りすましたせいでしょ,"Just because you walked in my shoes, don't you think that you know me.",Previously on Fringe...
知られたら あなたは、ただでは済まないのよ,"The point is, if he finds out about this, he's gonna transfer your ass to juneau so fast,","If they find out, you won't be free."
ちゃんちゃら　おかしいよ,That was a stupid idea.,I don't know what's wrong with you.
ちょっかいを出したくなかったけど,"I didn't mean to interfere, you know. Silly girl.",I didn't want to bother you.
ちょっかいを出してるんじゃないよ,I'm not bothering them none.,I'm not messing with you.
オオカミにちょっかいを出すと 群れでやって来るぜ さっきの仕返しだ,"Guess nobody told you, if you mess with the wolf, you get the fangs.","If you mess with the wolves, they'll come in the pack."
デイブ　目に付く女全てに ちょっかいを出すのはやめてくれないか?,"Dave, would you quit bothering every girl you see?","Dave, would you stop messing with every woman you see?"
