sent,reference,translation
"Käytämme niin paljon aikaa puhuessamme toistemme ohi emmekä tarpeeksi aikaa selvittääksemme erimielisyytemme , ja jos voimme löytää myötätuntoa toisiamme kohtaan on meillä myös mahdollisuus rakentaa riidaton perusta .","We spend so much time talking past each other and not enough time talking through our disagreements , and if we can start to find compassion for one another , then we have a shot at building common ground .","We spend so much time talking through each other, not enough time to work out our differences, and if we can find compassion for each other, we have a chance to build a foundation."
"Sitten teimme nämä jalat , jotka muokattiin maasta . Niissä kasvoi perunan mukuloita , ja punajuuria yläosasta , ja erittäin ihana messinkivarvas .","Then we made these legs that are cast in soil with a potato root system growing in them , and beetroots out the top , and a very lovely brass toe .","And then we made these legs that were modified from the ground, and they grew potato bugs and beets from the top, and very lovely brass toe."
"Kokemuksesta tiedän , että lapset ovat luonnostaan uteliaita asioista , joita he eivät tiedä tai ymmärrä , tai jotka ovat heille vieraita .","And , from my experience , you know , kids are naturally curious about what they don &apos;t know , or don &apos;t understand , or is foreign to them .","Well, in my experience, children are naturally curious about things they don't know or understand or that they don't know."
"Mielestäni halutessamme löytää ihmisyyden koko potentiaalin meidän täytyy juhlia niitä sydäntäsärkeviä vahvuuksia ja ihania vajaavuuksia , joita meillä kaikilla on .","I think that if we want to discover the full potential in our humanity , we need to celebrate those heartbreaking strengths and those glorious disabilities that we all have .","I think to find the full potential of humanity, we must celebrate the heartbreaking strengths and wonderful shortcomings that we all have."
Minulle kävi kummallisia yhteensattumia ; olin hyväksynyt lukemattomia kutsuja puhumaan gepardi-proteesien muotoilusta ympäri maailman .,Curious encounters were happening to me at the time ; I &apos;d been accepting numerous invitations to speak on the design of the cheetah legs around the world .,"Weird coincidences occurred to me 2010, I'd accepted countless invitations to talk about cheetah clowns all over the world."
Auton pysähtyessä poika hypähti yhtäkkiä 30 m pystysuoraan ilmaan ja katosi .,"And then when they came to a stop , the boy would do a sudden vertical takeoff , 100 foot in the air , and then disappear .","When the car stopped, the kid suddenly jumped 30 meters into the air and disappeared."
"Tyypillinen näkemys on , että jos näkee tai kuulee asioita , on tulossa hulluksi . Mutta psykoottiset hallusinaatiot ovat täysin erilaisia .","In particular , the notion is that if you see things or hear things , you &apos;re going mad , but the psychotic hallucinations are quite different .","The typical view is that if you see or hear things, you're going crazy, but psychotic hallucinations are completely different."
"14 tuntia proteesimeikkausta muuntuakseni olioksi , jolla oli nivelletyt tassut , kynnet ja häntä , joka heilui ympäriinsä kuin gekkolla .","14 hours of prosthetic make-up to get into a creature that had articulated paws , claws and a tail that whipped around , like a gecko .","Fourteen hours of prosthetic surgery to turn into a creature with pinned paws, claws and a tail that waved around like a duck."
"Ainoa tarkoitus joka näillä jaloilla voi olla , elokuvan puitteista irrotettuna , on stimuloida aisteja ja herättää mielikuvitus .","And the only purpose that these legs can serve , outside the context of the film , is to provoke the senses and ignite the imagination .","The only purpose that these legs can have, separated from the film is to stimulate the senses and awaken the imagination."
"Minulla oli hiilikuiduista kudotut sprinttijalat , jotka oli muotoiltu gepardin takajalan mukaan . Saatoitte nähdä ne lavalla eilen .","I had woven carbon fiber sprinting legs modeled after the hind leg of a cheetah , which you may have seen on stage yesterday .","I had magnesium feet woven from carbon fibers, shaped after the back of a cheetah, which you may have seen on stage yesterday."
"Joten teimme jalkoja , joita ihmiset hellästi kutsuivat lasijaloiksi , vaikka ne itse asiassa ovat läpinäkyvää polyuretaania , eli keilapallojen materiaalia .","So we made what people lovingly referred to as glass legs even though they &apos;re actually optically clear polyurethane , a.k.a. bowling ball material .","So we made feet that people gently called glass metals, even though they're actually translucent polyurethane, or bowling ball material."
"Ja silloin tiesin , että suhteeni yhteiskuntaan on muuttunut syvällisesti tämän viimeisen vuosikymmen aikana .",And that &apos;s when I knew — that &apos;s when I knew that the conversation with society has changed profoundly in this last decade .,And that's when I knew that my relationship with society has changed profoundly in the last decade.
"Mutta toisinaan hän ei tiennyt varmasti , oliko kyse harhasta vai ei . Koska hallusinaatiot sopivat tapahtumayhteyteen .","But sometimes he wasn &apos;t sure whether he was hallucinating or not , because the hallucinations would fit in the context of the visions .",But sometimes he didn't know for sure if it was an illusion or not because the hallucinations fit the connection.
"Mutta vain yksi prosentti myöntää ne , koska he pelkäävät tulevansa luokitelluiksi hulluiksi tai jotakin .","But no more than one percent of the people acknowledge them , because they are afraid they will be seen as insane or something .",But only one percent will admit them because they're afraid of becoming locked crazy or something.
"Joten tein sopimuksen aikuisten kanssa , että lapset voivat tulla sisään ilman aikuisia kahdeksi minuutiksi itsekseen .",So I made a deal with the adults that the kids could come in without any adults for two minutes on their own .,So I made a deal with the grown-ups that the kids could come in without the adults for two minutes by themselves.
"Tunnemme hyvin omat mielikuvitusmaisemamme , sisäiset maisemamme . Olemme eläneet niiden kanssa koko elämämme .","And we are familiar with the landscapes of our own imagination , our inscapes . We &apos;ve lived with them all our lives .","We're very familiar with our imaginations, our inner landscapes, and we've lived with them our whole lives."
"Tarkoitukseni on puhua hallusinaatioista . Erityisesti tietystä visuaalisesta aistiharhasta , jota potilaillani esiintyy .","So I am going to be talking about hallucinations , and a particular sort of visual hallucination which I see among my patients .","My purpose is to talk about hallucinations, especially certain visual hallucinations in my patients."
"Mutta se on täysin äänetön , kuin mykkäelokuva . &quot; &quot; Hän piti sitä melko tylsänä elokuvana .","But it &apos;s completely silent , like a silent movie . &quot; &quot; And she said that it &apos;s a rather boring movie .","But it's completely silent, like a silent movie."
"Ihmisellä ei ehkä ole pelkästään &quot; &quot; auto &quot; &quot; -soluja , vaan myös &quot; &quot; Aston Martin &quot; &quot; -soluja .","So you may not only have &quot; &quot; car &quot; &quot; cells , you may have &quot; &quot; Aston Martin &quot; &quot; cells .","Human beings may not just have what's called a composite housing, but that's also what's called a composite processo, and that's what's known as an Aston Martin on top of it."
"Eivät siis kaikki heistä eivätkä ne , jotka lähettävät minulle vihapostia . Mutta yllättyisitte .","I mean , not all of them , and not the ones who send me hate mail , but you would be surprised .","Not all of them, and not all of those who send hate mail to me, but you'd be surprised."
Tässä kohtaa aloin siirtyä pois tarpeesta toistaa ihmismäisyyttä ainoana esteettisenä ideaalina .,"And even at this point , I started to move away from the need to replicate human-ness as the only aesthetic ideal .",This is where I began to move out of the need to repeat humanity as the only aesthetic effect.
Toisen kerran kävelyllä Pariisin kaduilla hän näki — ihan todella — mestauslavan .,"On one occasion when he was walking in the streets of Paris , he saw — this was real — a scaffolding .","The second time he walked the streets of Paris, he saw a man beheaded."
Kotona hän näki 15 cm korkean mestauslavan pienoismallin työhuoneensa pöydällä .,"But when he got back home , he saw a miniature of the scaffolding six inches high , on his study table .","Back home, he saw a six-inch tall beheading model on his desk."
"( Naurua ) Toinen jalkapari , jonka parissa teimme yhteistyötä olivat nämä ... ne näyttävät meduusan jaloilta . Myös polyuretaanista .","( Laughter ) And then another pair of legs we collaborated on were these — look like jellyfish legs , also polyurethane .","The other pair of feet we worked on were these... they look like jellyfish feet, including polyurethane."
"On tietty visuaalisen hallusinaation muoto , joka voi liittyä heikentyneeseen näköön tai sokeuteen .","I said , &quot; &quot; There is a special form of visual hallucination which may go with deteriorating vision or blindness .",There's a certain form of visual hallucination that could be related to impaired vision or blindness.
"Mies käännähti ympäri , jakautui kuudeksi identtiseksi raitapaitaiseksi hahmoksi , jotka alkoivat kävellä häntä kohti .","And he turned around . And then he divided into six figures in striped shirts , who started walking towards her .","The man turned around, divided into six identical striped figures that began to walk towards him."
"Nykyään tiedämme , että on satoja muunlaisia soluja , jotka voivat olla äärimmäisen erikoistuneita .","And now we know that there are hundreds of other sorts of cells , which can be very , very specific .",We now know that there are hundreds of other kinds of cells that can be extremely specialized.
"Sitten yksi kahdeksanvuotias sanoi : &quot; Hei , miksi et haluaisi myös lentää ? &quot;","And then , one eight-year-old said , &quot; Hey , why wouldn &apos;t you want to fly too ? &quot;","And then this eight-year-old says, ""Hey, why wouldn't you like to fly too?"""
Kerran hän näki kylpytakkiin pukeutuneen piippumiehen ja tajusi sen esittävän häntä itseään .,"On one occasion , he saw a man in a bathrobe smoking a pipe , and realized it was himself .","One day he saw a man in a bathrobe in a pipe, and he realized it was a painting of himself."
"Eräällä toisella potilaallani , jolla myös oli vielä näköä jäljellä , harhat saattoivat olla häiritseviä .","With another patient of mine , who , also had some vision , the vision she had could be disturbing .","One of my other patients, who also had vision, could be disturbing."
